ID;idpp;ndiasV6;ndiasR0;ndiasR4;ndiasR9;DVS;peaklai;cbiog
3012004;125;39;29;37;20;2.03816164150098;7.29651165472727;0.242333347926394
3082004;124;36;29;38;21;2.03481826456945;6.99297405496917;0.262314505271658
3372004;116;31;23;40;22;2.03959659634934;6.33286602628515;0.238801771760567
3592004;119;25;27;40;27;2.01400154536515;5.91622487398065;0.22243498602164
62004;124;26;26;40;32;2.02914713077644;6.00099809325521;0.246081170731098
3002005;128;37;31;39;21;2.04900581032394;7.65080770703665;0.254019579651754
3202005;119;32;27;39;21;2.01350849766025;6.72333013594831;0.271851365920626
3422005;120;31;26;40;23;2.03675310338195;6.16809478387461;0.253236953462993
3562005;122;27;28;38;29;2.01070957643405;5.88234233552994;0.267055042484181
22005;129;26;26;42;35;2.02150758909196;5.57011154881636;0.255714976996869
102005;142;28;25;45;44;2.02384022481801;5.73881385647174;0.255444408661577
2872006;125;41;27;37;20;2.01006445727719;7.32196283947204;0.24541342550139
3102006;117;36;23;38;20;2.03211724955795;6.50009443455389;0.241457682083077
3252006;110;29;24;39;18;2.00498702371929;6.02713940874535;0.202734709916996
3422006;109;25;25;38;21;2.03634219451518;5.61357467412165;0.220603093986059
3532006;109;25;25;38;21;2.00279437022798;5.67976874988485;0.184780098262926
3542006;110;25;25;39;21;2.00886272170249;5.71617515470774;0.185826044610374
2942007;129;42;28;39;20;2.0078228029254;7.78298188558863;0.256330586448919
3082007;124;40;25;40;19;2.00048788233162;7.31198708996779;0.222163218805916
3242007;119;34;24;40;21;2.04409015467362;6.81040894241191;0.238591379529949
3322007;117;31;26;39;21;2.0327578893012;6.66220347087375;0.245143477280287
3602007;121;26;27;39;29;2.02813133865609;5.97525698005667;0.282939305482218
22007;113;26;26;38;23;2.00319086992531;5.54562833755679;0.21056394999328
2852008;132;41;30;41;20;2.02781894594876;7.50283499175046;0.271930489677977
3032008;124;34;29;41;20;2.02029611847227;7.32736596238562;0.241469336156243
3142008;122;34;29;39;20;2.00491801810122;7.15414245997342;0.220032734036562
3522008;121;29;26;41;25;2.01827770168854;6.41296263556437;0.262536346185915
