ID;idpp;ndiasV6;ndiasR0;ndiasR4;ndiasR9;DVS;peaklai;cbiog
3012004;125;39;29;37;20;2.03816164150098;6.04601097230952;0.203366485132558
3082004;124;36;29;38;21;2.03481826456945;5.82044589973402;0.212262927123586
3372004;116;31;23;40;22;2.03959659634934;5.19501539861533;0.197077739058304
3592004;119;25;27;40;27;2.01400154536515;4.91146102463119;0.203102592861499
62004;124;26;26;40;32;2.02914713077644;4.9574312223361;0.213200455165815
3002005;128;37;31;39;21;2.04900581032394;6.20305216282902;0.21643431967509
3202005;119;32;27;39;21;2.01350849766025;5.51619612123131;0.205376407015908
3422005;120;31;26;40;23;2.03675310338195;5.18305807043982;0.199177516878806
3562005;122;27;28;38;29;2.01070957643405;4.95724476221136;0.222548965432937
22005;129;26;26;42;35;2.02150758909196;4.57820804955827;0.226626713275381
102005;142;28;25;45;44;2.02384022481801;4.74214267142302;0.240938245496928
2872006;125;41;27;37;20;2.01006445727719;5.94704004553766;0.198860592601839
3102006;117;36;23;38;20;2.03211724955795;5.34043018766786;0.194474207089438
3252006;110;29;24;39;18;2.00498702371929;4.977839054584;0.158366439458941
3422006;109;25;25;38;21;2.03634219451518;4.68350132723437;0.179324228627294
3532006;109;25;25;38;21;2.00279437022798;4.68906979391564;0.175245248520932
3542006;110;25;25;39;21;2.00886272170249;4.71713957300716;0.174939417109318
2942007;129;42;28;39;20;2.0078228029254;6.29830043685514;0.212053295798075
3082007;124;40;25;40;19;2.00048788233162;5.93510294905478;0.192397583673471
3242007;119;34;24;40;21;2.04409015467362;5.58551749090627;0.203246674094181
3322007;117;31;26;39;21;2.0327578893012;5.46050489662736;0.206427582443671
3602007;121;26;27;39;29;2.02813133865609;5.02609307320518;0.229900468993263
22007;113;26;26;38;23;2.00319086992531;4.56343950001357;0.174550977054982
2852008;132;41;30;41;20;2.02781894594876;6.16318819987118;0.215001357688281
3032008;124;34;29;41;20;2.02029611847227;5.99769653672914;0.202766088313703
3142008;122;34;29;39;20;2.00491801810122;5.87725585078412;0.196766919245277
3522008;121;29;26;41;25;2.01827770168854;5.34488735951401;0.219863730799194
