ID,LAT,LON,startY,startOfSimulation,endY,endOfSimulation,SOILID,StationID,Soil initial conditions,soilcspin,isimveg,isimfire,irrigate,P1,planting day,start year,plant population,row spacing,planting depth,cycle length,cycles,params
USNEME_Irrigated_2001,41.1649,-96.4701,2001,130,2001,296,IBAFlUSNe2,./inst/input_1d/NES20116.txt,0,0,1,0,0,maize,131,2001,8.24,75,5.1,164,1,maize1
USNEME_Irrigated_2003,41.1649,-96.4701,2003,133,2003,297,IBAFlUSNe2,./inst/input_1d/NES20116.txt,0,0,1,0,0,maize,134,2003,7.8,75,5.1,162,1,maize1
USNEME_Irrigated_2005,41.1649,-96.4701,2005,121,2005,291,IBAFlUSNe2,./inst/input_1d/NES20116.txt,0,0,1,0,0,maize,122,2005,7.63,75,5.1,168,1,maize1
USNEME_Irrigated_2007,41.1649,-96.4701,2007,121,2007,310,IBAFlUSNe2,./inst/input_1d/NES20116.txt,0,0,1,0,0,maize,122,2007,7.76,75,5.1,187,1,maize1
USNEME_Irrigated_2009,41.1649,-96.4701,2009,110,2009,315,IBAFlUSNe2,./inst/input_1d/NES20116.txt,0,0,1,0,0,maize,111,2009,7.65,75,5.1,203,1,maize1
USNEME_Irrigated_2010,41.1649,-96.4701,2010,109,2010,260,IBAFlUSNe2,./inst/input_1d/NES20116.txt,0,0,1,0,0,maize,110,2010,7,75,5.1,149,1,maize1
USNEME_Irrigated_2011,41.1649,-96.4701,2011,137,2011,300,IBAFlUSNe2,./inst/input_1d/NES20116.txt,0,0,1,0,0,maize,138,2011,8.11,75,5.1,161,1,maize1
USNEME_Irrigated_2012,41.1649,-96.4701,2012,115,2012,284,IBAFlUSNe2,./inst/input_1d/NES20116.txt,0,0,1,0,0,maize,116,2012,7.87,75,5.1,167,1,maize1
USNEME_Irrigated_2013,41.1649,-96.4701,2013,119,2013,296,IBAFlUSNe2,./inst/input_1d/NES20116.txt,0,0,1,0,0,maize,120,2013,7.89,75,5.1,175,1,maize1
USNEME_Irrigated_2015,41.1649,-96.4701,2015,118,2015,301,IBAFlUSNe2,./inst/input_1d/NES20116.txt,0,0,1,0,0,maize,119,2015,7.27,75,5.1,181,1,maize1
USNEME_Rainfed_2001,41.1649,-96.4701,2001,133,2001,303,IBAFlUSNe3,./inst/input_1d/NES20116.txt,0,0,1,0,0,maize,134,2001,5.23,75,5.1,168,1,maize1
USNEME_Rainfed_2003,41.1649,-96.4701,2003,132,2003,287,IBAFlUSNe3,./inst/input_1d/NES20116.txt,0,0,1,0,0,maize,133,2003,5.76,75,5.1,153,1,maize1
USNEME_Rainfed_2005,41.1649,-96.4701,2005,115,2005,291,IBAFlUSNe3,./inst/input_1d/NES20116.txt,0,0,1,0,0,maize,116,2005,5.37,75,5.1,174,1,maize1
USNEME_Rainfed_2007,41.1649,-96.4701,2007,124,2007,305,IBAFlUSNe3,./inst/input_1d/NES20116.txt,0,0,1,0,0,maize,125,2007,5.58,75,5.1,179,1,maize1
USNEME_Rainfed_2009,41.1649,-96.4701,2009,119,2009,316,IBAFlUSNe3,./inst/input_1d/NES20116.txt,0,0,1,0,0,maize,120,2009,6.05,75,5.1,195,1,maize1
USNEME_Rainfed_2011,41.1649,-96.4701,2011,121,2011,292,IBAFlUSNe3,./inst/input_1d/NES20116.txt,0,0,1,0,0,maize,122,2011,5.02,75,5.1,169,1,maize1
USNEME_Rainfed_2013,41.1649,-96.4701,2013,132,2013,295,IBAFlUSNe3,./inst/input_1d/NES20116.txt,0,0,1,0,0,maize,133,2013,5.82,75,5.1,161,1,maize1
