ID,LAT,LON,startY,startOfSimulation,endY,endOfSimulation,SOILID,StationID,Soil initial conditions,soilcspin,isimveg,isimfire,irrigate,P1,planting day,start year,plant population,row spacing,planting depth,cycle length,cycles,params
ARBAAZ_Irrigated_1999-2000,-36.45,-59.5,1999,313,2000,103,ARGN000001,,1,0,1,0,0,soybean,314,1999,35,35,4,,1,soybean2
ARBAAZ_Rainfed_1999-2000,-36.45,-59.5,1999,313,2000,103,ARGN000001,,1,0,1,0,0,soybean,314,1999,35,35,4,,1,soybean2
ARBAAZ_Irrigated_2000-2001,-36.45,-59.5,2000,313,2001,103,ARGN000001,,1,0,1,0,0,soybean,314,2000,35,35,4,,1,soybean2
ARBAAZ_Rainfed_2000-2001,-36.45,-59.5,2000,313,2001,103,ARGN000001,,1,0,1,0,0,soybean,314,2000,35,35,4,,1,soybean2
ARBAAZ_Irrigated_2002-2003,-36.45,-59.5,2002,325,2003,115,ARGN000001,,1,0,1,0,0,soybean,326,2002,35,30,4,,1,soybean2
ARBAAZ_Rainfed_2002-2003,-36.45,-59.5,2002,325,2003,115,ARGN000001,,1,0,1,0,0,soybean,326,2002,35,30,4,,1,soybean2
BRDFPL_Early_2017-2018,-15.75,-47.75,2017,312,2018,102,BRZL000001,,1,0,1,0,0,soybean,313,2017,40,50,2.5,,1,soybean1
BRDFPL_Late_2017-2018,-15.75,-47.75,2017,332,2018,122,BRZL000001,,1,0,1,0,0,soybean,333,2017,40,50,2.5,,1,soybean1
FROCAZ_Irrigated_2017,43.52,1.508,2017,129,2017,284,FRNC000001,,1,0,1,0,0,soybean,130,2017,45,50,3,,1,soybean10
FROCAZ_Rainfed_2017,43.52,1.508,2017,129,2017,284,FRNC000001,,1,0,1,0,0,soybean,130,2017,42,50,3,,1,soybean10
FROCAZ_Irrigated_2018,43.52,1.508,2018,113,2018,268,FRNC000002,,1,0,1,0,0,soybean,114,2018,42,50,3,,1,soybean10
FROCAZ_Rainfed_2018,43.52,1.508,2018,113,2018,268,FRNC000002,,1,0,1,0,0,soybean,114,2018,46,50,3,,1,soybean10
USAKFV_Season_2012,36.098,-94.179,2012,157,2012,312,AKNS000001,,1,0,1,0,0,soybean,158,2012,28.55,46,2,,1,soybean3
USAKFV_Season_2013,36.098,-94.179,2013,158,2013,313,AKNS000001,,1,0,1,0,0,soybean,159,2013,3.4,46,2.5,,1,soybean3
USAKFV_Season_2014,36.098,-94.179,2014,167,2014,322,AKNS000001,,1,0,1,0,0,soybean,168,2014,33.6,46,3.5,,1,soybean3
USIAAM_Early_2015,42.03,-93.77,2015,120,2015,275,IOWA000001,,1,0,1,0,0,soybean,121,2015,38,76,3.8,,1,soybean4
USIAAM_Late_2015,42.03,-93.77,2015,151,2015,306,IOWA000001,,1,0,1,0,0,soybean,152,2015,37.5,76,5.1,,1,soybean4
USIAAM_Early_2016,42.03,-93.77,2016,126,2016,281,IOWA000001,,1,0,1,0,0,soybean,127,2016,37,76,3.8,,1,soybean4
USIAAM_Late_2016,42.03,-93.77,2016,154,2016,309,IOWA000001,,1,0,1,0,0,soybean,155,2016,36.6,76,3.8,,1,soybean4
