ID,LAT,LON,startY,startOfSimulation,endY,endOfSimulation,SOILID,StationID,Soil initial conditions,soilcspin,isimveg,isimfire,irrigate,P1,planting day,start year,plant population,row spacing,planting depth,cycle length,cycles,params
BRMSAJ_GbyE_2008-2009_BRS246_323,-22.25,-56.5,2008,322,2009,112,IB00000009,,0,0,1,0,0,soybean,323,2008,35,35,5.1,,1,soybean12
BRMSAJ_GbyE_2009-2010_BRS246_303,-22.25,-56.5,2009,302,2010,92,IB00000009,,0,0,1,0,0,soybean,303,2009,35,35,5.1,,1,soybean12
BRMSAJ_GbyE_2010-2011_BRS246_313,-22.25,-56.5,2010,312,2011,102,IB00000009,,0,0,1,0,0,soybean,313,2010,35,35,5.1,,1,soybean12
BRMSAJ_GbyE_2011-2012_BRS246_306,-22.25,-56.5,2011,305,2012,95,IB00000009,,0,0,1,0,0,soybean,306,2011,35,35,5.1,,1,soybean12
BRMSAJ_GbyE_2012-2013_BRS246_317,-22.25,-56.5,2012,316,2013,106,IB00000009,,0,0,1,0,0,soybean,317,2012,35,35,5.1,,1,soybean12
BRMSMA_GbyE_2008-2009_BRS246_320,-22.75,-55,2008,319,2009,109,IB00000005,,0,0,1,0,0,soybean,320,2008,35,35,5.1,,1,soybean12
BRMSMA_GbyE_2008-2009_BRS246_291,-22.75,-55,2008,290,2009,80,IB00000005,,0,0,1,0,0,soybean,291,2008,35,35,5.1,,1,soybean12
BRMSMA_GbyE_2009-2010_BRS246_314,-22.75,-55,2009,313,2010,103,IB00000005,,0,0,1,0,0,soybean,314,2009,35,35,5.1,,1,soybean12
BRMSMA_GbyE_2010-2011_BRS246_303,-22.75,-55,2010,302,2011,92,IB00000005,,0,0,1,0,0,soybean,303,2010,35,35,5.1,,1,soybean12
BRMSMA_GbyE_2012-2013_BRS246_319,-22.75,-55,2012,318,2013,108,IB00000005,,0,0,1,0,0,soybean,319,2012,35,35,5.1,,1,soybean12
BRMSNV_GbyE_2009-2010_BRS246_305,-23.25,-54,2009,304,2010,94,IB00000009,,0,0,1,0,0,soybean,305,2009,35,35,5.1,,1,soybean12
BRMSNV_GbyE_2010-2011_BRS246_293,-23.25,-54,2010,292,2011,82,IB00000009,,0,0,1,0,0,soybean,293,2010,35,35,5.1,,1,soybean12
BRMSNV_GbyE_2012-2013_BRS246_320,-23.25,-54,2012,319,2013,109,IB00000009,,0,0,1,0,0,soybean,320,2012,35,35,5.1,,1,soybean12
BRMSSI_GbyE_2008-2009_BRS246_303,-29,-54.75,2008,302,2009,92,IB00000005,,0,0,1,0,0,soybean,303,2008,35,35,5.1,,1,soybean12
BRMSSI_GbyE_2010-2011_BRS246_319,-29,-54.75,2010,318,2011,108,IB00000005,,0,0,1,0,0,soybean,319,2010,35,35,5.1,,1,soybean12
BRMSSI_GbyE_2011-2012_BRS246_307,-29,-54.75,2011,306,2012,96,IB00000005,,0,0,1,0,0,soybean,307,2011,35,35,5.1,,1,soybean12
BRMSSI_GbyE_2012-2013_BRS246_318,-29,-54.75,2012,317,2013,107,IB00000005,,0,0,1,0,0,soybean,318,2012,35,35,5.1,,1,soybean12
BRPRCM_GbyE_2008-2009_BRS246_321,-24.25,-52.25,2008,320,2009,110,IB00000004,,0,0,1,0,0,soybean,321,2008,35,35,5.1,,1,soybean12
BRPRCM_GbyE_2008-2009_BRS246_305,-24.25,-52.25,2008,304,2009,94,IB00000004,,0,0,1,0,0,soybean,305,2008,35,35,5.1,,1,soybean12
BRPRCM_GbyE_2009-2010_BRS246_307,-24.25,-52.25,2009,306,2010,96,IB00000004,,0,0,1,0,0,soybean,307,2009,35,35,5.1,,1,soybean12
BRPRCM_GbyE_2010-2011_BRS246_313,-24.25,-52.25,2010,312,2011,102,IB00000004,,0,0,1,0,0,soybean,313,2010,35,35,5.1,,1,soybean12
BRPRCM_GbyE_2011-2012_BRS246_300,-24.25,-52.25,2011,299,2012,89,IB00000004,,0,0,1,0,0,soybean,300,2011,35,35,5.1,,1,soybean12
BRPRCM_GbyE_2012-2013_BRS246_296,-24.25,-52.25,2012,295,2013,85,IB00000004,,0,0,1,0,0,soybean,296,2012,35,35,5.1,,1,soybean12
BRPRCA_GbyE_2008-2009_BRS246_298,-25,-53.25,2008,297,2009,87,IB00000004,,0,0,1,0,0,soybean,298,2008,35,35,5.1,,1,soybean12
BRPRCA_GbyE_2009-2010_BRS246_302,-25,-53.25,2009,301,2010,91,IB00000004,,0,0,1,0,0,soybean,302,2009,35,35,5.1,,1,soybean12
BRPRCA_GbyE_2010-2011_BRS246_317,-25,-53.25,2010,316,2011,106,IB00000004,,0,0,1,0,0,soybean,317,2010,35,35,5.1,,1,soybean12
BRPRCI_GbyE_2009-2010_BRS246_304,-23.75,-52.25,2009,303,2010,93,IB00000008,,0,0,1,0,0,soybean,304,2009,35,35,5.1,,1,soybean12
