ID,LAT,LON,startYear,endYear,SOILID,StationID,soilcspin,isimveg,isimfire,irrigate,P1,plating day,start year,cycle length,cycles,params
sim1,-31.75,-52.25,2004,2005,EUCFLUX,,0,1,0,0,rice,301,2004,200,1,rice1
sim2,-31.75,-52.25,2004,2005,EUCFLUX,,0,1,0,0,rice,308,2004,200,1,rice1
sim3,-31.75,-52.25,2004,2005,EUCFLUX,,0,1,0,0,rice,337,2004,200,1,rice1
sim4,-31.75,-52.25,2004,2005,EUCFLUX,,0,1,0,0,rice,359,2004,200,1,rice1
sim5,-31.75,-52.25,2004,2005,EUCFLUX,,0,1,0,0,rice,6,2004,200,1,rice1
sim6,-31.75,-52.25,2005,2006,EUCFLUX,,0,1,0,0,rice,300,2005,200,1,rice1
sim7,-31.75,-52.25,2005,2006,EUCFLUX,,0,1,0,0,rice,320,2005,200,1,rice1
sim8,-31.75,-52.25,2005,2006,EUCFLUX,,0,1,0,0,rice,342,2005,200,1,rice1
sim9,-31.75,-52.25,2005,2006,EUCFLUX,,0,1,0,0,rice,356,2005,200,1,rice1
sim10,-31.75,-52.25,2005,2006,EUCFLUX,,0,1,0,0,rice,2,2005,200,1,rice1
sim11,-31.75,-52.25,2005,2006,EUCFLUX,,0,1,0,0,rice,10,2005,200,1,rice1
sim12,-31.75,-52.25,2006,2007,EUCFLUX,,0,1,0,0,rice,287,2006,200,1,rice1
sim13,-31.75,-52.25,2006,2007,EUCFLUX,,0,1,0,0,rice,310,2006,200,1,rice1
sim14,-31.75,-52.25,2006,2007,EUCFLUX,,0,1,0,0,rice,325,2006,200,1,rice1
sim15,-31.75,-52.25,2006,2007,EUCFLUX,,0,1,0,0,rice,342,2006,200,1,rice1
sim16,-31.75,-52.25,2006,2007,EUCFLUX,,0,1,0,0,rice,353,2006,200,1,rice1
sim17,-31.75,-52.25,2006,2007,EUCFLUX,,0,1,0,0,rice,354,2006,200,1,rice1
sim18,-31.75,-52.25,2007,2008,EUCFLUX,,0,1,0,0,rice,294,2007,200,1,rice1
sim19,-31.75,-52.25,2007,2008,EUCFLUX,,0,1,0,0,rice,308,2007,200,1,rice1
sim20,-31.75,-52.25,2007,2008,EUCFLUX,,0,1,0,0,rice,324,2007,200,1,rice1
sim21,-31.75,-52.25,2007,2008,EUCFLUX,,0,1,0,0,rice,332,2007,200,1,rice1
sim22,-31.75,-52.25,2007,2008,EUCFLUX,,0,1,0,0,rice,360,2007,200,1,rice1
sim23,-31.75,-52.25,2007,2008,EUCFLUX,,0,1,0,0,rice,2,2007,200,1,rice1
sim24,-31.75,-52.25,2008,2009,EUCFLUX,,0,1,0,0,rice,285,2008,200,1,rice1
sim25,-31.75,-52.25,2008,2009,EUCFLUX,,0,1,0,0,rice,303,2008,200,1,rice1
sim26,-31.75,-52.25,2008,2009,EUCFLUX,,0,1,0,0,rice,314,2008,200,1,rice1
sim27,-31.75,-52.25,2008,2009,EUCFLUX,,0,1,0,0,rice,352,2008,200,1,rice1
