ID,LAT,LON,SOILID,StationID,soilcspin,isimveg,isimfire,irrigate,P1,plating day,start year,cycle length,cycles,params
simEUCFLUX,-23.25,-48.75,EUCFLUX,inst/input_1d/met_EUCAFLUX_60min.txt,1,1,0,0,eucalipto,305,2009,2500,1,eucalipto1
simMARSDEN,-23.25,-48.75,EUCFLUX,inst/input_1d/met_EUCAFLUX_60min.txt,1,1,0,0,eucalipto,95,2004,2500,1,eucalipto1
simVCP,-21.75,-47.75,VCP,inst/input_1d/met_EUCAVCP_60min.txt,1,1,0,0,eucalipto,70,2004,2500,1,eucalipto1
sim3,-22.25,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,351,2003,1945,1,eucalipto1
sim7,-22.25,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,209,2004,1722,1,eucalipto1
sim9,-22.25,-46.75,MAORGAFRN2,,1,1,0,0,eucalipto,182,2004,1749,1,eucalipto1
sim18,-22.25,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,321,2003,1975,1,eucalipto1
sim20,-22.25,-47.25,CELATOMAG2,,1,1,0,0,eucalipto,15,2003,1993,1,eucalipto1
sim21,-22.25,-46.75,MAORGAFRN2,,1,1,0,0,eucalipto,329,2003,1967,1,eucalipto1
sim32,-22.25,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,42,2004,1889,1,eucalipto1
sim37,-22.25,-46.75,MAORGAFRN2,,1,1,0,0,eucalipto,349,2003,1947,1,eucalipto1
sim38,-22.25,-47.25,CELATOMAG2,,1,1,0,0,eucalipto,15,2003,1993,1,eucalipto1
sim40,-22.25,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,352,2003,1944,1,eucalipto1
sim44,-22.25,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,328,2003,1968,1,eucalipto1
sim47,-22.25,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,86,2004,1845,1,eucalipto1
sim49,-22.25,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,208,2004,1723,1,eucalipto1
sim65,-22.25,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,333,2003,1963,1,eucalipto1
sim66,-22.25,-47.25,CELATOFRN3,,1,1,0,0,eucalipto,83,2003,1925,1,eucalipto1
sim67,-22.25,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,320,2003,1976,1,eucalipto1
sim71,-22.25,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,22,2004,1909,1,eucalipto1
sim75,-22.25,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,86,2004,1845,1,eucalipto1
sim77,-22.25,-47.25,CELATOMAG2,,1,1,0,0,eucalipto,15,2003,1993,1,eucalipto1
sim79,-22.25,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,329,2003,1967,1,eucalipto1
sim81,-22.25,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,86,2004,1845,1,eucalipto1
sim86,-22.25,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,85,2004,1846,1,eucalipto1
sim90,-22.25,-46.75,MAORGAFRN2,,1,1,0,0,eucalipto,102,2004,1829,1,eucalipto1
sim92,-22.25,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,1,1977,10924,1,eucalipto1
sim94,-22.25,-47.25,CELATOFRN3,,1,1,0,0,eucalipto,171,2003,1837,1,eucalipto1
sim103,-22.25,-47.25,CELATOFRN3,,1,1,0,0,eucalipto,46,2003,1962,1,eucalipto1
sim107,-22.25,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,318,2003,1978,1,eucalipto1
sim109,-22.25,-47.25,CELATOFRN3,,1,1,0,0,eucalipto,66,2003,1942,1,eucalipto1
sim111,-22.25,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,85,2004,1846,1,eucalipto1
sim113,-22.25,-46.75,MAORGAFRN2,,1,1,0,0,eucalipto,341,2003,1955,1,eucalipto1
sim115,-22.25,-46.75,MAORGAFRN2,,1,1,0,0,eucalipto,329,2003,1967,1,eucalipto1
sim116,-22.25,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,348,2003,1948,1,eucalipto1
sim124,-22.25,-46.75,MAORGAFRN2,,1,1,0,0,eucalipto,354,2003,1942,1,eucalipto1
sim126,-22.25,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,23,2004,1908,1,eucalipto1
sim132,-22.25,-47.25,CELATOMAG2,,1,1,0,0,eucalipto,304,2002,2022,1,eucalipto1
sim135,-22.25,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,40,2004,1891,1,eucalipto1
sim136,-22.25,-47.25,CELATOFRN3,,1,1,0,0,eucalipto,83,2003,1925,1,eucalipto1
sim137,-22.25,-47.25,CELATOMAG2,,1,1,0,0,eucalipto,324,2002,2002,1,eucalipto1
sim139,-22.25,-46.75,CELATOFRN2,,1,1,0,0,eucalipto,341,2003,1955,1,eucalipto1
sim140,-22.25,-47.25,CELATOMAG2,,1,1,0,0,eucalipto,175,2003,1833,1,eucalipto1
