ID,LAT,LON,startYear,endYear,SOILID,StationID,soilcspin,isimveg,isimfire,irrigate,P1,plating day,start year,cycle length,cycles,params
USNELI_Rainfed_2002_Asgr2703,41.1649,-96.4701,2002,2002,IBAFlUSNe3,,0,1,0,0,soybean,140,2002,142,1,NE0001
USNELI_Rainfed_2004_Pn93B09,41.1649,-96.4701,2004,2004,IBAFlUSNe3,,0,1,0,0,soybean,154,2004,131,1,NE0002
USNELI_Rainfed_2006_Pn93M11,41.1649,-96.4701,2006,2006,IBAFlUSNe3,,0,1,0,0,soybean,131,2006,150,1,NE0003
USNELI_Rainfed_2008_Pn93M11,41.1649,-96.4701,2008,2008,IBAFlUSNe3,,0,1,0,0,soybean,135,2008,147,1,NE0003
USNELI_Rainfed_2010_Pn93M11,41.1649,-96.4701,2010,2010,IBAFlUSNe3,,0,1,0,0,soybean,139,2010,140,1,NE0003
USNELI_Rainfed_2012_Pn93M43,41.1649,-96.4701,2012,2012,IBAFlUSNe3,,0,1,0,0,soybean,136,2012,139,1,NE0004
USNELI_Rainfed_2014_Pn92Y83,41.1649,-96.4701,2014,2014,IBAFlUSNe3,,0,1,0,0,soybean,139,2014,142,1,NE0005
USNELI_Irrigated_2002_Asgr2703,41.1649,-96.4701,2002,2002,IBAFlUSNe2,,0,1,0,0,soybean,140,2002,140,1,NE0001
USNELI_Irrigated_2004_Pn93B09,41.1649,-96.4701,2004,2004,IBAFlUSNe2,,0,1,0,0,soybean,154,2004,138,1,NE0002
USNELI_Irrigated_2006_Pn93M11,41.1649,-96.4701,2006,2006,IBAFlUSNe2,,0,1,0,0,soybean,132,2006,146,1,NE0003
USNELI_Irrigated_2008_Pn93M11,41.1649,-96.4701,2008,2008,IBAFlUSNe2,,0,1,0,0,soybean,136,2008,147,1,NE0003
USNELI_Irrigated_2014_Pn92Y83,41.1649,-96.4701,2014,2014,IBAFlUSNe2,,0,1,0,0,soybean,140,2014,143,1,NE0004
USAKFV_Irrigated_2012_42-M1,36.098,-94.179,2012,2012,AKNS000001,,0,1,0,0,soybean,158,2012,,1,AK0001
USAKFV_Irrigated_2013_42-M1,36.098,-94.179,2013,2013,AKNS000001,,0,1,0,0,soybean,159,2013,,1,AK0001
USAKFV_Irrigated_2014_42-M1,36.098,-94.179,2014,2014,AKNS000001,,0,1,0,0,soybean,168,2014,,1,AK0001
ARBAAZ_Irrigated_1999-2000_Don Mario MG4,-36.45,-59.5,1999,2000,ARGN000001,,0,1,0,0,soybean,314,1999,,1,AR0001
ARBAAZ_Rainfed_1999-2000_Don Mario MG4,-36.45,-59.5,1999,2000,ARGN000001,,0,1,0,0,soybean,314,1999,,1,AR0001
ARBAAZ_Irrigated_2000-2001_Don Mario MG4,-36.45,-59.5,2000,2001,ARGN000001,,0,1,0,0,soybean,314,2000,,1,AR0001
ARBAAZ_Rainfed_2000-2001_Don Mario MG4,-36.45,-59.5,2000,2001,ARGN000001,,0,1,0,0,soybean,314,2000,,1,AR0001
ARBAAZ_Irrigated_2002-2003_Don Mario MG4,-36.45,-59.5,2002,2003,ARGN000001,,0,1,0,0,soybean,326,2002,,1,AR0001
ARBAAZ_Rainfed_2002-2003_Don Mario MG4,-36.45,-59.5,2002,2003,ARGN000001,,0,1,0,0,soybean,326,2002,,1,AR0001
BRDFPL_Rainfed_2017-2018_BRS5980_Early,-15.5925,-47.7367,2017,2018,BRZL000001,,0,1,0,0,soybean,313,2017,,1,BR0001
BRDFPL_Rainfed_2017-2018_BRS5980_Late,-15.5925,-47.7367,2017,2018,BRZL000001,,0,1,0,0,soybean,333,2017,,1,BR0001
FROCAZ_Irrigated_2017_ISIDOR,43.52,1.508,2017,2017,FRNC000001,,0,1,0,0,soybean,130,2017,,1,FR0001
FROCAZ_Rainfed_2017_ISIDOR,43.52,1.508,2017,2017,FRNC000001,,0,1,0,0,soybean,130,2017,,1,FR0001
FROCAZ_Irrigated_2018_ISIDOR,43.52,1.508,2018,2018,FRNC000002,,0,1,0,0,soybean,114,2018,,1,FR0001
FROCAZ_Rainfed_2018_ISIDOR,43.52,1.508,2018,2018,FRNC000002,,0,1,0,0,soybean,114,2018,,1,FR0001
USIAAM_Rainfed_2015_P92Y75R_Early,42.03,-93.77,2015,2015,IOWA000001,,0,1,0,0,soybean,121,2015,,1,IW0001
USIAAM_Rainfed_2015_P92Y75R_Late,42.03,-93.77,2015,2015,IOWA000001,,0,1,0,0,soybean,152,2015,,1,IW0001
USIAAM_Rainfed_2016_P92Y75R_Early,42.03,-93.77,2016,2016,IOWA000001,,0,1,0,0,soybean,127,2016,,1,IW0001
USIAAM_Rainfed_2016_P92Y75R_Late,42.03,-93.77,2016,2016,IOWA000001,,0,1,0,0,soybean,155,2016,,1,IW0001
