ID,LAT,LON,startYear,endYear,SOILID,StationID,soilcspin,isimveg,isimfire,irrigate,P1,plating day,start year,cycle length,cycles,params
BRDFPL_Rainfed_2017-2018_BRS5980_Early,-15.75,-47.75,2017,2018,BRZL000001,,0,1,0,0,soybean,313,2017,150,1,soybean1
BRDFPL_Rainfed_2017-2018_BRS5980_Late,-15.75,-47.75,2017,2018,BRZL000001,,0,1,0,0,soybean,333,2017,150,1,soybean1
USAKFV_Irrigated_2012_42-M1,36.098,-94.179,2012,2012,AKNS000001,,0,1,0,0,soybean,158,2012,150,1,soybean3
USAKFV_Irrigated_2013_42-M1,36.098,-94.179,2013,2013,AKNS000001,,0,1,0,0,soybean,159,2013,150,1,soybean3
USAKFV_Irrigated_2014_42-M1,36.098,-94.179,2014,2014,AKNS000001,,0,1,0,0,soybean,168,2014,150,1,soybean3
USIAAM_Rainfed_2015_P92Y75R_Early,42.03,-93.77,2015,2015,IOWA000001,,0,1,0,0,soybean,121,2015,150,1,soybean4
USIAAM_Rainfed_2015_P92Y75R_Late,42.03,-93.77,2015,2015,IOWA000001,,0,1,0,0,soybean,152,2015,150,1,soybean4
USIAAM_Rainfed_2016_P92Y75R_Early,42.03,-93.77,2016,2016,IOWA000001,,0,1,0,0,soybean,127,2016,150,1,soybean4
USIAAM_Rainfed_2016_P92Y75R_Late,42.03,-93.77,2016,2016,IOWA000001,,0,1,0,0,soybean,155,2016,150,1,soybean4
FROCAZ_Irrigated_2017_ISIDOR,43.52,1.508,2017,2017,FRNC000001,,0,1,0,0,soybean,130,2017,150,1,soybean10
FROCAZ_Rainfed_2017_ISIDOR,43.52,1.508,2017,2017,FRNC000001,,0,1,0,0,soybean,130,2017,150,1,soybean10
FROCAZ_Irrigated_2018_ISIDOR,43.52,1.508,2018,2018,FRNC000002,,0,1,0,0,soybean,114,2018,150,1,soybean10
FROCAZ_Rainfed_2018_ISIDOR,43.52,1.508,2018,2018,FRNC000002,,0,1,0,0,soybean,114,2018,150,1,soybean10
