SOILID,SLB,SLCL,SLSI,SLLL,SDUL,SSAT,SSKS,BEXP,Bperm,AEP,SRGF,SBDM,SLOC,SLCF,SLDR,SLRO,PTF
Sand,0.15,0.03,0.05,0.033,0.091,0.437,209.88,1.7,0.01,0.07,,,,,,,1
Sand,0.15,0.03,0.05,0.033,0.091,0.437,209.88,1.7,0.01,0.07,,,,,,,1
Sand,0.15,0.03,0.05,0.033,0.091,0.437,209.88,1.7,0.01,0.07,,,,,,,1
Sand,0.15,0.03,0.05,0.033,0.091,0.437,209.88,1.7,0.01,0.07,,,,,,,1
Sand,0.3,0.03,0.05,0.033,0.091,0.437,209.88,1.7,0.01,0.07,,,,,,,1
Sand,0.3,0.03,0.05,0.033,0.091,0.437,209.88,1.7,0.01,0.07,,,,,,,1
Sand,0.6,0.03,0.05,0.033,0.091,0.437,209.88,1.7,0.01,0.07,,,,,,,1
Sand,1,0.03,0.05,0.033,0.091,0.437,209.88,1.7,0.01,0.07,,,,,,,1
Sand,2,0.03,0.05,0.033,0.091,0.437,209.88,1.7,0.01,0.07,,,,,,,1
Loamy_Sand,0.15,0.07,0.12,0.055,0.125,0.437,61.2,2.1,0.01,0.09,,,,,,,1
Loamy_Sand,0.15,0.07,0.12,0.055,0.125,0.437,61.2,2.1,0.01,0.09,,,,,,,1
Loamy_Sand,0.15,0.07,0.12,0.055,0.125,0.437,61.2,2.1,0.01,0.09,,,,,,,1
Loamy_Sand,0.15,0.07,0.12,0.055,0.125,0.437,61.2,2.1,0.01,0.09,,,,,,,1
Loamy_Sand,0.3,0.07,0.12,0.055,0.125,0.437,61.2,2.1,0.01,0.09,,,,,,,1
Loamy_Sand,0.3,0.07,0.12,0.055,0.125,0.437,61.2,2.1,0.01,0.09,,,,,,,1
Loamy_Sand,0.6,0.07,0.12,0.055,0.125,0.437,61.2,2.1,0.01,0.09,,,,,,,1
Loamy_Sand,1,0.07,0.12,0.055,0.125,0.437,61.2,2.1,0.01,0.09,,,,,,,1
Loamy_Sand,2,0.07,0.12,0.055,0.125,0.437,61.2,2.1,0.01,0.09,,,,,,,1
Sandy_Loam,0.15,0.1,0.25,0.095,0.207,0.453,25.884,3.1,0.01,0.15,,,,,,,1
Sandy_Loam,0.15,0.1,0.25,0.095,0.207,0.453,25.884,3.1,0.01,0.15,,,,,,,1
Sandy_Loam,0.15,0.1,0.25,0.095,0.207,0.453,25.884,3.1,0.01,0.15,,,,,,,1
Sandy_Loam,0.15,0.1,0.25,0.095,0.207,0.453,25.884,3.1,0.01,0.15,,,,,,,1
Sandy_Loam,0.3,0.1,0.25,0.095,0.207,0.453,25.884,3.1,0.01,0.15,,,,,,,1
Sandy_Loam,0.3,0.1,0.25,0.095,0.207,0.453,25.884,3.1,0.01,0.15,,,,,,,1
Sandy_Loam,0.6,0.1,0.25,0.095,0.207,0.453,25.884,3.1,0.01,0.15,,,,,,,1
Sandy_Loam,1,0.1,0.25,0.095,0.207,0.453,25.884,3.1,0.01,0.15,,,,,,,1
Sandy_Loam,2,0.1,0.25,0.095,0.207,0.453,25.884,3.1,0.01,0.15,,,,,,,1
