SimIDic,SLBic,SWic,STic,NH4ic,NO3ic
simMARSDEN,20,0.18,,,
simMARSDEN,50,0.18,,,
simMARSDEN,100,0.2,,,
simMARSDEN,200,0.2,,,
simMARSDEN,300,0.2,,,
simMARSDEN,400,0.2,,,
simMARSDEN,500,0.2,,,
simMARSDEN,600,0.2,,,
simMARSDEN,700,0.2,,,
simMARSDEN,800,0.2,,,
simMARSDEN,900,0.2,,,
simMARSDEN,1000,0.2,,,
simMARSDEN,1250,0.2,,,
simMARSDEN,1650,0.2,,,
simMARSDEN,2150,0.2,,,
simFAYS,30,0.42,,,
simFAYS,60,0.4,,,
simFAYS,90,0.4,,,
simFAYS,120,0.39,,,
simFAYS,150,0.36,,,
simFAYS,180,0.36,,,
simFAYS,210,0.36,,,
simFAYS,240,0.36,,,
simFAYS,270,0.36,,,
simFAYS,300,0.36,,,
simFAYS,360,0.36,,,
simFAYS,420,0.36,,,
simFAYS,520,0.36,,,
simFAYS,620,0.36,,,
simFAYS,720,0.36,,,
simUSR,30,0.23,,,
simUSR,60,0.18,,,
simUSR,90,0.16,,,
simUSR,120,0.16,,,
simUSR,150,0.16,,,
simUSR,180,0.15,,,
simUSR,210,0.15,,,
simUSR,240,0.14,,,
simUSR,270,0.14,,,
simUSR,300,0.14,,,
simUSR,350,0.14,,,
simUSR,450,0.14,,,
simUSR,600,0.14,,,
USNEME_Irrigated_2002,5,0.38,15.7,,
USNEME_Irrigated_2002,15,0.38,14.75,,
USNEME_Irrigated_2002,35,0.34,14.41,,
USNEME_Irrigated_2002,45,0.36,13.64,,
USNEME_Irrigated_2002,60,0.38,12.87,,
USNEME_Irrigated_2002,90,0.415,12.87,,
USNEME_Irrigated_2002,120,0.45,12.87,,
USNEME_Irrigated_2002,150,0.45,12.87,,
USNEME_Irrigated_2002,180,0.45,12.87,,
USNEME_Irrigated_2004,5,0.4,17.45,,
USNEME_Irrigated_2004,15,0.4,16.91,,
USNEME_Irrigated_2004,35,0.44,16.44,,
USNEME_Irrigated_2004,45,0.32,16.225,,
USNEME_Irrigated_2004,60,0.32,16.01,,
USNEME_Irrigated_2004,90,0.39,16.01,,
USNEME_Irrigated_2004,120,0.46,16.01,,
USNEME_Irrigated_2004,150,0.46,16.01,,
USNEME_Irrigated_2004,180,0.46,16.01,,
USNEME_Irrigated_2006,5,0.36,14.66,,
USNEME_Irrigated_2006,15,0.36,14.4,,
USNEME_Irrigated_2006,35,0.39,13.2,,
USNEME_Irrigated_2006,45,0.415,13.11,,
USNEME_Irrigated_2006,60,0.44,13.02,,
USNEME_Irrigated_2006,90,0.445,13.02,,
USNEME_Irrigated_2006,120,0.45,13.02,,
USNEME_Irrigated_2006,150,0.45,13.02,,
USNEME_Irrigated_2006,180,0.45,13.02,,
USNEME_Irrigated_2008,5,0.36,11.58,,
USNEME_Irrigated_2008,15,0.36,11.06,,
USNEME_Irrigated_2008,35,0.41,11.02,,
USNEME_Irrigated_2008,45,0.425,10.805,,
USNEME_Irrigated_2008,60,0.44,10.59,,
USNEME_Irrigated_2008,90,0.45,10.59,,
USNEME_Irrigated_2008,120,0.46,10.59,,
USNEME_Irrigated_2008,150,0.46,10.59,,
USNEME_Irrigated_2008,180,0.46,10.59,,
USNEME_Irrigated_2014,5,0.33,15.39,,
USNEME_Irrigated_2014,15,0.33,14.02,,
USNEME_Irrigated_2014,35,0.3,12.51,,
USNEME_Irrigated_2014,45,0.355,11.69,,
USNEME_Irrigated_2014,60,0.41,10.87,,
USNEME_Irrigated_2014,90,0.43,10.87,,
USNEME_Irrigated_2014,120,0.45,10.87,,
USNEME_Irrigated_2014,150,0.45,10.87,,
USNEME_Irrigated_2014,180,0.45,10.87,,
USNEME_Rainfed_2002,5,0.35,14.09,,
USNEME_Rainfed_2002,15,0.35,13.96,,
USNEME_Rainfed_2002,35,0.33,13.99,,
USNEME_Rainfed_2002,45,0.335,13.65,,
USNEME_Rainfed_2002,60,0.34,13.31,,
USNEME_Rainfed_2002,90,0.36,13.31,,
USNEME_Rainfed_2002,120,0.38,13.31,,
USNEME_Rainfed_2002,150,0.38,13.31,,
USNEME_Rainfed_2002,180,0.38,13.31,,
USNEME_Rainfed_2004,5,0.35,17.47,,
USNEME_Rainfed_2004,15,0.35,17.21,,
USNEME_Rainfed_2004,35,0.39,16.93,,
USNEME_Rainfed_2004,45,0.36,15.825,,
USNEME_Rainfed_2004,60,0.33,14.72,,
USNEME_Rainfed_2004,90,0.36,14.72,,
USNEME_Rainfed_2004,120,0.39,14.72,,
USNEME_Rainfed_2004,150,0.39,14.72,,
USNEME_Rainfed_2004,180,0.39,14.72,,
USNEME_Rainfed_2006,5,0.35,14.88,,
USNEME_Rainfed_2006,15,0.35,15.65,,
USNEME_Rainfed_2006,35,0.37,15.3,,
USNEME_Rainfed_2006,45,0.38,14.21,,
USNEME_Rainfed_2006,60,0.39,13.12,,
USNEME_Rainfed_2006,90,0.385,13.12,,
USNEME_Rainfed_2006,120,0.38,13.12,,
USNEME_Rainfed_2006,150,0.38,13.12,,
USNEME_Rainfed_2006,180,0.38,13.12,,
USNEME_Rainfed_2008,5,0.35,13.3,,
USNEME_Rainfed_2008,15,0.35,13.38,,
USNEME_Rainfed_2008,35,0.38,11.53,,
USNEME_Rainfed_2008,45,0.4,11.195,,
USNEME_Rainfed_2008,60,0.42,10.86,,
USNEME_Rainfed_2008,90,0.41,10.86,,
USNEME_Rainfed_2008,120,0.4,10.86,,
USNEME_Rainfed_2008,150,0.4,10.86,,
USNEME_Rainfed_2008,180,0.4,10.86,,
USNEME_Rainfed_2010,5,0.37,14.29,,
USNEME_Rainfed_2010,15,0.37,13.73,,
USNEME_Rainfed_2010,35,0.39,12.43,,
USNEME_Rainfed_2010,45,0.405,11.8,,
USNEME_Rainfed_2010,60,0.42,11.17,,
USNEME_Rainfed_2010,90,0.405,11.17,,
USNEME_Rainfed_2010,120,0.39,11.17,,
USNEME_Rainfed_2010,150,0.39,11.17,,
USNEME_Rainfed_2010,180,0.39,11.17,,
USNEME_Rainfed_2012,5,0.3,18.01,,
USNEME_Rainfed_2012,15,0.3,17.55,,
USNEME_Rainfed_2012,35,0.39,17.08,,
USNEME_Rainfed_2012,45,0.4,16.065,,
USNEME_Rainfed_2012,60,0.41,15.05,,
USNEME_Rainfed_2012,90,0.395,15.05,,
USNEME_Rainfed_2012,120,0.38,15.05,,
USNEME_Rainfed_2012,150,0.38,15.05,,
USNEME_Rainfed_2012,180,0.38,15.05,,
USNEME_Rainfed_2014,5,0.3,11.96,,
USNEME_Rainfed_2014,15,0.3,11.52,,
USNEME_Rainfed_2014,35,0.37,11.33,,
USNEME_Rainfed_2014,45,0.385,10.9,,
USNEME_Rainfed_2014,60,0.4,10.47,,
USNEME_Rainfed_2014,90,0.39,10.47,,
USNEME_Rainfed_2014,120,0.38,10.47,,
USNEME_Rainfed_2014,150,0.38,10.47,,
USNEME_Rainfed_2014,180,0.38,10.47,,
