SID,BIOMA,ORDEM,TEXTURA,LAT,LON,SLDR,SLRO,SLB,SLLL,SDUL,SSAT,SRGF,SSKS,SBDM,SLOC,SLCL,SLSI,SLCF
AMARGIFRN1,AMAZÔNIA,ARGISSOLO,Franco,-7.495344444,-63.01004603,0.6,73,3,0.123612736,0.257311204,0.364630984,0.7,5,1.23652127,1.835396825,13.74920635,33.98253968,18.16190476
AMARGIFRN1,AMAZÔNIA,ARGISSOLO,Franco,-7.495344444,-63.01004603,0.6,73,11,0.142154978,0.27125247,0.370972248,0.7,5,1.233927993,1.462545607,17.07128429,34.48129649,16.06424259
AMARGIFRN1,AMAZÔNIA,ARGISSOLO,Franco,-7.495344444,-63.01004603,0.6,73,23,0.156307857,0.28337314,0.379177469,0.2,3.5,1.230751239,1.165914276,19.65897498,35.56253477,13.93512569
AMARGIFRN1,AMAZÔNIA,ARGISSOLO,Franco,-7.495344444,-63.01004603,0.6,73,34,0.164819097,0.288009636,0.379254516,0.2,3.5,1.231905376,0.969795152,21.36385116,35.32719199,13.34229406
AMARGIFRN1,AMAZÔNIA,ARGISSOLO,Franco,-7.495344444,-63.01004603,0.6,73,46,0.173119479,0.293013099,0.380553281,0.2,3.5,1.229762809,0.822117911,23.1174043,35.13597303,12.52881988
AMARGIFRN1,AMAZÔNIA,ARGISSOLO,Franco,-7.495344444,-63.01004603,0.6,73,69,0.182615363,0.299189859,0.382182807,0.2,3.5,1.229612061,0.619986144,24.95927928,35.09537476,11.55852665
AMARGIFRN1,AMAZÔNIA,ARGISSOLO,Franco,-7.495344444,-63.01004603,0.6,73,92,0.190464272,0.299518869,0.376395446,0,3.5,1.232350491,0.400426766,26.58680885,33.7080153,11.33236369
AMARGIFRN1,AMAZÔNIA,ARGISSOLO,Franco,-7.495344444,-63.01004603,0.6,73,115,0.188192562,0.29941534,0.376135408,0,3.5,1.241464527,0.34416831,25.70863605,34.31943638,11.74773306
AMARGIFAS1,AMAZÔNIA,ARGISSOLO,Fraco Argilo-Siltosa,-6.39825,-64.6842625,0.6,73,3,0.210025781,0.465941097,0.578826874,0.7,5,1.106219375,3.4659375,18.878125,63.571875,2.89375
AMARGIFAS1,AMAZÔNIA,ARGISSOLO,Fraco Argilo-Siltosa,-6.39825,-64.6842625,0.6,73,10,0.227007683,0.442796228,0.542194395,0.7,5,1.121652986,2.495527065,25.30269776,59.5533012,2.63686255
