SID,BIOMA,ORDEM,TEXTURA,LAT,LON,SLDR,SLRO,SLB,SLLL,SDUL,SSAT,SRGF,SSKS,SBDM,SLOC,SLCL,SLSI,SLCF,BEXP,Bperm
CENEOSFAR1,CERRADO,NEOSSOLO,Franco Arenosa,-12.02743684,-48.92252895,0.9,73,3,0.089753301,0.155409357,0.238990019,1,5,1.223448421,1.168947368,10.00526316,15.07105263,24.35789474,,
CENEOSFAR1,CERRADO,NEOSSOLO,Franco Arenosa,-12.02743684,-48.92252895,0.9,73,9,0.096966111,0.162629895,0.242559195,0.842105263,5,1.220750734,1.032351326,10.58163283,14.77556241,23.84283876,,
CENEOSFAR1,CERRADO,NEOSSOLO,Franco Arenosa,-12.02743684,-48.92252895,0.9,73,19,0.101958331,0.168494208,0.245794481,0.8,5,1.222222271,0.876325787,11.51211466,15.20495141,23.69180683,,
CENEOSFAR1,CERRADO,NEOSSOLO,Franco Arenosa,-12.02743684,-48.92252895,0.9,73,28,0.105555149,0.173789128,0.249462725,0.478718952,0.1,1.222437813,0.76207952,12.28074922,15.700608,23.42434526,,
CENEOSFAR1,CERRADO,NEOSSOLO,Franco Arenosa,-12.02743684,-48.92252895,0.9,73,38,0.107987906,0.176827026,0.252039025,0.251835422,0.1,1.22205057,0.621974173,12.72093353,16.11211493,22.78926792,,
CENEOSFAR1,CERRADO,NEOSSOLO,Franco Arenosa,-12.02743684,-48.92252895,0.9,73,57,0.102399774,0.172249471,0.248583182,0.154084245,0.1,1.217160199,0.524135249,11.33130538,16.60286293,23.80543198,,
CENEOSFAR1,CERRADO,NEOSSOLO,Franco Arenosa,-12.02743684,-48.92252895,0.9,73,76,0.099949092,0.165193686,0.240562055,0.152716278,0.1,1.215748692,0.310571556,11.46582864,15.10991522,22.90930949,,
CENEOSFAR1,CERRADO,NEOSSOLO,Franco Arenosa,-12.02743684,-48.92252895,0.9,73,95,0.100943129,0.163621561,0.237606288,0.086956522,0.1,1.209242466,0.244466475,11.71776071,14.49072506,23.34808927,,
CENEOSFAR1,CERRADO,NEOSSOLO,Franco Arenosa,-12.02743684,-48.92252895,0.9,73,171,0.100943129,0.163621561,0.237606288,0.086956522,0.1,1.209242466,0.244466475,11.71776071,14.49072506,23.34808927,,
CENEOSARN1,CERRADO,NEOSSOLO,Areia,-12.96935065,-51.7308013,0.9,73,3,0.042100835,0.085169942,0.132141268,1,5,1.344016104,0.685584416,4.151948052,3.105194805,48.54935065,,
CENEOSARN1,CERRADO,NEOSSOLO,Areia,-12.96935065,-51.7308013,0.9,73,11,0.042336638,0.085648867,0.132755941,0.909090909,5,1.342657345,0.645415332,4.312677446,3.151426583,48.33983081,,
CENEOSARN1,CERRADO,NEOSSOLO,Areia,-12.96935065,-51.7308013,0.9,73,23,0.042039373,0.085036837,0.131382394,0.8,5,1.345099053,0.529739703,4.596056752,2.99254553,48.02536908,,
CENEOSARN1,CERRADO,NEOSSOLO,Areia,-12.96935065,-51.7308013,0.9,73,35,0.042133594,0.08514836,0.13127892,0.244696043,0.1,1.345849492,0.458849729,4.86961256,2.945180074,47.93583078,,
