SID,BIOMA,ORDEM,TEXTURA,LAT,LON,SLDR,SLRO,SLB,SLLL,SDUL,SSAT,SRGF,SSKS,SBDM,SLOC,SLCL,SLSI,SLCF,BEXP,Bperm
AGR,AMAZONIA,LATOSSOLO,Franco-Argilo-Arenoso,-2.5236,-48.7964,NA,NA,5,0.0217,0.2639,0.3487,NA,7.7911,1.7260,NA,4.64130,9.7842,NA,3.2997,0.01
AGR,AMAZONIA,LATOSSOLO,Franco-Argilo-Arenoso,-2.5236,-48.7964,NA,NA,10,0.0690,0.2912,0.3728,NA,5.0030,1.6622,NA,15.0158,8.5041,NA,5.0369,0.01
AGR,AMAZONIA,LATOSSOLO,Franco-Argilo-Arenoso,-2.5236,-48.7964,NA,NA,20,0.1163,0.3185,0.3969,NA,3.2126,1.5983,NA,25.3904,7.2241,NA,6.7740,0.01
AGR,AMAZONIA,LATOSSOLO,Franco-Argilo-Arenoso,-2.5236,-48.7964,NA,NA,40,0.1636,0.3458,0.4209,NA,2.0629,1.5345,NA,35.7649,5.9440,NA,8.5111,0.01
AGR,AMAZONIA,LATOSSOLO,Franco-Argilo-Arenoso,-2.5236,-48.7964,NA,NA,60,0.1913,0.3617,0.4350,NA,1.5921,1.4972,NA,41.8337,5.1952,NA,9.5273,0.01
AGR,AMAZONIA,LATOSSOLO,Franco-Argilo-Arenoso,-2.5236,-48.7964,NA,NA,100,0.2262,0.3819,0.4527,NA,1.1487,1.4501,NA,49.4776,4.2503,NA,10.808,0.01
AGR2,AMAZONIA,LATOSSOLO,Franco-Argilo-Arenoso,-2.5236,-48.7964,NA,NA,5,0.1001,0.2985,0.3962,NA,3.2809,1.6000,NA,24.2976,6.9193,NA,6.7084,0.01
AGR2,AMAZONIA,LATOSSOLO,Franco-Argilo-Arenoso,-2.5236,-48.7964,NA,NA,10,0.1001,0.2985,0.3962,NA,3.2809,1.6000,NA,24.2976,6.9193,NA,6.7084,0.01
AGR2,AMAZONIA,LATOSSOLO,Franco-Argilo-Arenoso,-2.5236,-48.7964,NA,NA,20,0.0600,0.3247,0.3962,NA,3.2809,1.6000,NA,24.2976,6.9193,NA,6.7084,0.01
AGR2,AMAZONIA,LATOSSOLO,Franco-Argilo-Arenoso,-2.5236,-48.7964,NA,NA,40,0.1300,0.2842,0.4226,NA,1.9486,1.5300,NA,36.6900,6.1900,NA,8.6890,0.01
AGR2,AMAZONIA,LATOSSOLO,Franco-Argilo-Arenoso,-2.5236,-48.7964,NA,NA,60,0.2029,0.3825,0.4340,NA,1.6504,1.5000,NA,41.2500,5.0400,NA,9.4151,0.01
AGR2,AMAZONIA,LATOSSOLO,Franco-Argilo-Arenoso,-2.5236,-48.7964,NA,NA,100,0.2029,0.3825,0.4340,NA,1.6504,1.5000,NA,41.2500,5.0400,NA,9.4151,0.01
JAM,RAINFOREST,NA,NA,-1.6900,103.390,NA,NA,5,0.1600,0.2500,0.4100,NA,2.4100,1.0200,NA,30.0000,9.0000,NA,7.6300,0.01
JAM,RAINFOREST,NA,NA,-1.6900,103.390,NA,NA,15,0.1700,0.2700,0.4100,NA,2.0800,1.0700,NA,34.0000,8.0000,NA,8.2600,0.01
JAM,RAINFOREST,NA,NA,-1.6900,103.390,NA,NA,30,0.1900,0.2800,0.4100,NA,1.7500,1.1000,NA,38.0000,8.0000,NA,8.9000,0.01
JAM,RAINFOREST,NA,NA,-1.6900,103.390,NA,NA,60,0.1900,0.2800,0.4200,NA,1.6000,1.1100,NA,40.0000,8.0000,NA,9.2200,0.01
JAM,RAINFOREST,NA,NA,-1.6900,103.390,NA,NA,100,0.1900,0.2800,0.4200,NA,1.6000,1.0900,NA,40.0000,8.0000,NA,9.2200,0.01
JAM,RAINFOREST,NA,NA,-1.6900,103.390,NA,NA,200,0.1900,0.2800,0.4200,NA,1.6000,1.0900,NA,40.0000,8.0000,NA,9.2200,0.01
AFM,RAINFOREST,NA,NA,-2.6400,-48.900,NA,NA,5,0.0217,0.2639,0.3487,NA,7.7911,1.7260,NA,4.64130,9.7842,NA,3.2997,0.01
AFM,RAINFOREST,NA,NA,-2.6400,-48.900,NA,NA,15,0.0690,0.2912,0.3728,NA,5.0030,1.6622,NA,15.0158,8.5041,NA,5.0369,0.01
AFM,RAINFOREST,NA,NA,-2.6400,-48.900,NA,NA,30,0.1900,0.2800,0.4100,NA,1.7700,1.4300,NA,39.0000,06.000,NA,9.0600,0.01
AFM,RAINFOREST,NA,NA,-2.6400,-48.900,NA,NA,60,0.1900,0.2800,0.4100,NA,1.6200,1.4900,NA,41.0000,06.000,NA,9.3800,0.01
AFM,RAINFOREST,NA,NA,-2.6400,-48.900,NA,NA,100,0.2000,0.2900,0.4200,NA,1.5500,1.5100,NA,42.0000,06.000,NA,9.5400,0.01
AFM,RAINFOREST,NA,NA,-2.6400,-48.900,NA,NA,200,0.1900,0.2800,0.4100,NA,1.6100,1.5100,NA,41.0000,06.000,NA,9.3800,0.01
BFM,RAINFOREST,NA,NA,-2.4700,-48.720,NA,NA,5,0.0217,0.2639,0.3487,NA,7.7911,1.7260,NA,4.64130,9.7842,NA,3.2997,0.01
BFM,RAINFOREST,NA,NA,-2.4700,-48.720,NA,NA,15,0.0690,0.2912,0.3728,NA,5.0030,1.6622,NA,15.0158,8.5041,NA,5.0369,0.01
BFM,RAINFOREST,NA,NA,-2.4700,-48.720,NA,NA,30,0.1800,0.2700,0.4100,NA,1.9600,1.4700,NA,36.0000,07.000,NA,8.5800,0.01
BFM,RAINFOREST,NA,NA,-2.4700,-48.720,NA,NA,60,0.2000,0.2900,0.4200,NA,1.5500,1.5100,NA,42.0000,06.000,NA,9.5400,0.01
BFM,RAINFOREST,NA,NA,-2.4700,-48.720,NA,NA,100,0.2000,0.2900,0.4200,NA,1.5500,1.5300,NA,42.0000,06.000,NA,9.5400,0.01
BFM,RAINFOREST,NA,NA,-2.4700,-48.720,NA,NA,200,0.2000,0.2900,0.4200,NA,1.5500,1.5400,NA,42.0000,06.000,NA,9.5400,0.01
CFM,RAINFOREST,NA,NA,-2.5200,-48.790,NA,NA,5,0.0217,0.2639,0.3487,NA,7.7911,1.7260,NA,4.64130,9.7842,NA,3.2997,0.01
CFM,RAINFOREST,NA,NA,-2.5200,-48.790,NA,NA,15,0.0690,0.2912,0.3728,NA,5.0030,1.6622,NA,15.0158,8.5041,NA,5.0369,0.01
CFM,RAINFOREST,NA,NA,-2.5200,-48.790,NA,NA,30,0.1700,0.2600,0.4100,NA,2.2000,1.4100,NA,34.0000,06.000,NA,8.2600,0.01
CFM,RAINFOREST,NA,NA,-2.5200,-48.790,NA,NA,60,0.1800,0.2700,0.4100,NA,1.8500,1.4900,NA,38.0000,06.000,NA,8.9000,0.01
CFM,RAINFOREST,NA,NA,-2.5200,-48.790,NA,NA,100,0.1800,0.2700,0.4100,NA,1.8500,1.5100,NA,38.0000,06.000,NA,8.9000,0.01
CFM,RAINFOREST,NA,NA,-2.5200,-48.790,NA,NA,200,0.1800,0.2700,0.4100,NA,1.8500,1.5100,NA,38.0000,06.000,NA,8.9000,0.01
DFM,RAINFOREST,NA,NA,-2.5900,-48.530,NA,NA,5,0.0217,0.2639,0.3487,NA,7.7911,1.7260,NA,4.64130,9.7842,NA,3.2997,0.01
DFM,RAINFOREST,NA,NA,-2.5900,-48.530,NA,NA,15,0.0690,0.2912,0.3728,NA,5.0030,1.6622,NA,15.0158,8.5041,NA,5.0369,0.01
DFM,RAINFOREST,NA,NA,-2.5900,-48.530,NA,NA,30,0.1700,0.2700,0.4100,NA,2.0800,1.4200,NA,36.0000,05.000,NA,8.5700,0.01
DFM,RAINFOREST,NA,NA,-2.5900,-48.530,NA,NA,60,0.1800,0.2800,0.4100,NA,1.8200,1.4500,NA,39.0000,05.000,NA,9.0500,0.01
DFM,RAINFOREST,NA,NA,-2.5900,-48.530,NA,NA,100,0.1800,0.2800,0.4100,NA,1.8200,1.4700,NA,39.0000,05.000,NA,9.0500,0.01
DFM,RAINFOREST,NA,NA,-2.5900,-48.530,NA,NA,200,0.1900,0.2800,0.4100,NA,1.7500,1.4800,NA,40.0000,05.000,NA,9.2200,0.01
EFM,RAINFOREST,NA,NA,-2.5700,-48.830,NA,NA,5,0.0217,0.2639,0.3487,NA,7.7911,1.7260,NA,4.64130,9.7842,NA,3.2997,0.01
