Ano;DOY;hhmm;resto_h;NEE;LE;H;Rg;PAR;Rn;  G;Rain;Tar;UR;Patm;Vh;Dir
2006;71;0.5;0;6.0606;-11.935;-35.717;-2.726;-0.076;-57.427;-9.775;0;19.51;86.87;92.987;4.071;162.051
2006;71;1.5;3600;6.8768;-8.65375;-39.17;-2.659;-0.076;-58.42;-10.59625;0;19.02;87.73;92.954;4.377;160.344
2006;71;2.5;7200;7.0721;-6.2305;-40.78;-2.737;-0.077;-57.943;-10.9325;0;18.28;91.07;92.921;3.89;155.359
2006;71;3.5;10800;9.1279;2.52575;-49.309;-2.586;-0.079;-58.097;-11.31375;0;17.94;92.47;92.879;4.262;162.28
2006;71;4.5;14400;8.1531;-11.61275;-31.268;-2.722;-0.078;-54.827;-11.94625;0;17.39;95.27;92.88;3.24;167.561
2006;71;5.5;18000;7.8167;-11.6935;-37.929;-2.672;-0.073;-61.48;-11.8575;0;17.27;95.53;92.897;3.779;156.857
2006;71;6.5;21600;6.8002;-6.00625;-35.867;12.427;23.901;-53.697;-11.82375;0;17.12;96;92.955;3.505;156.34
2006;71;7.5;25200;-4.7391;90.77575;5.776;210.967;377.633;87.463;-9.08875;0;18.29;92.13;92.977;3.348;148.854
2006;71;8.5;28800;-20.1898;244.9095;51.152;458.167;868.567;292.367;-3.6945;0;20.27;84.23;93.027;3.146;149.194
2006;71;9.5;32400;-23.4198;399.886;90.587;670.067;1357;492.467;1.994;0;22.01;77.09;93.063;3.37;127.988
2006;71;10.5;36000;-26.7051;537.83575;99.545;857.333;1788;644.433;7.05225;0;23.46;70.23;93.051;3.685;122.295
2006;71;11.5;39600;-31.0158;554.26175;71.709;838;1776;636.367;10.39625;0;24.27;68.14;93.052;4.023;137
2006;71;12.5;43200;-33.0904;587.4465;53.808;864.567;1845.333;651.967;10.7125;0;25.14;66.59;93.014;3.219;143.89
2006;71;13.5;46800;-35.2631;533.932;30.78;778.533;1652;603.667;38.955;0;25.74;63.1;92.933;2.891;145.343
2006;71;14.5;50400;-23.4544;593.599;4.016;796.567;1690;607.8;10.185;0;26.28;63.08;92.836;2.631;152.776
2006;71;15.5;54000;-22.8878;507.5015;-12.562;687.833;1443.333;501.767;6.8275;0;26.78;60.85;92.728;2.664;143.345
2006;71;16.5;57600;-10.5674;300.305;-19;458.533;932.667;285.5;4.195;0;26.9;60.66;92.645;2.254;144.4
2006;71;17.5;61200;-5.1538;96.624;-18.79;219.1;438.4;77.16;-0.674;0;26.43;61.21;92.627;2.462;174.931
2006;71;18.5;64800;4.172;-3.876;-29.418;26.033;49.113;-37.35;-4.056;0;25.3;66.66;92.658;3.251;183.37
2006;71;19.5;68400;8.8694;2.17925;-45.103;-2.807;-0.076;-48.35;-5.42625;0;23.88;70.52;92.7;3.355;186.61
2006;71;20.5;72000;13.5185;13.64425;-61.367;-2.955;-0.076;-54.047;-6.32425;0;22.36;77.94;92.781;3.227;185.823
2006;71;21.5;75600;14.6136;35.9935;-86.319;-2.756;-0.075;-56.53;-6.2045;0;21.95;79.8;92.87;4.28;188.446
2006;71;22.5;79200;5.6931;-9.7575;-40.3;-2.827;-0.077;-56.96;-6.9025;0;21.06;83.83;92.893;3.922;174.091
2006;71;23.5;82800;7.9027;-4.393;-41.122;-2.679;-0.072;-53.26;-7.745;0;20.17;87.8;92.891;3.671;173.022
2006;72;0.5;0;7.8898;-7.87925;-35.264;-2.671;-0.074;-51.607;-8.46375;0;19.39;91.13;92.877;3.119;176.371
2006;72;1.5;3600;7.8222;-12.93375;-29.67;-2.743;-0.076;-51.96;-9.35625;0;18.7;93.97;92.818;3.049;175.163
2006;72;2.5;7200;7.1404;-11.7675;-28.942;-2.506;-0.074;-50.647;-9.9375;0;18.26;95.4;92.769;3.232;175.065
2006;72;3.5;10800;7.9945;-7.923;-30.759;-2.29;-0.073;-48.977;-10.295;0;18.03;96.33;92.744;3.161;166.015
2006;72;4.5;14400;6.409;-10.847;-31.69;-2.349;-0.071;-52.597;-10.06;0;18.09;96.2;92.742;3.281;147.278
2006;72;5.5;18000;11.551;-7.5145;-49.21;-3.084;-0.073;-66.417;-9.6925;0;18.18;95.03;92.754;4.087;129.19
2006;72;6.5;21600;7.9695;-0.38875;-37.297;14.124;25.142;-47.937;-10.25125;0;17.7;96.2;92.779;2.985;105.19
2006;72;7.5;25200;-8.4474;89.296;-7.054;195.067;352.633;74.573;-7.669;0;18.92;90.7;92.835;3.228;101.515
2006;72;8.5;28800;-16.3814;271.9415;15.339;464.367;868.533;284.733;-2.5475;0;21.28;80.1;92.897;4.398;99.283
2006;72;9.5;32400;-20.7083;429.92075;46.177;678.433;1349;477;0.90225;0;22.65;71.72;92.906;5.745;97.894
2006;72;10.5;36000;-30.0875;515.43325;96.967;835.667;1726.333;618.967;6.56675;0;23.89;69.32;92.95;3.787;102.108
2006;72;11.5;39600;-30.9638;631.43325;63.256;926.667;1957;704.233;9.54375;0;25.04;66.37;92.92;3.379;109.123
2006;72;12.5;43200;-33.0812;620.1115;35.074;854.833;1824;667.133;11.9475;0;25.99;64.4;92.876;2.142;87.87
2006;72;13.5;46800;-33.66515;589.777;60.155;906.667;1938;705.367;55.435;0;26.78;62.21;92.82;1.242;106.342
2006;72;14.5;50400;-32.8047;548.83075;15.401;768.567;1627.667;576.633;12.40125;0;27;63.31;92.722;1.938;176.321
2006;72;15.5;54000;-33.4025;495.741;-2.258;686.967;1441.667;501.933;8.45;0;27.23;63.2;92.631;2.405;166.929
2006;72;16.5;57600;-18.3221;330.227;-30.641;482.067;972.667;304.433;4.847;0;27.34;62.78;92.576;2.383;148.083
