mydate;year;month;day;var
1980-01-01;1980;1;1;89.7290649414062
1980-01-02;1980;1;2;69.2949752807617
1980-01-03;1980;1;3;70.2186508178711
1980-01-04;1980;1;4;71.0217971801758
1980-01-05;1980;1;5;67.7594757080078
1980-01-06;1980;1;6;68.426155090332
1980-01-07;1980;1;7;88.9041213989258
1980-01-08;1980;1;8;89.2375183105469
1980-01-09;1980;1;9;90.4861373901367
1980-01-10;1980;1;10;85.9434814453125
1980-01-11;1980;1;11;91.1960525512695
1980-01-12;1980;1;12;92.0825958251953
1980-01-13;1980;1;13;88.4714431762695
1980-01-14;1980;1;14;84.0775604248047
1980-01-15;1980;1;15;85.6511306762695
1980-01-16;1980;1;16;95.6457214355469
1980-01-17;1980;1;17;94.346923828125
1980-01-18;1980;1;18;91.1496047973633
1980-01-19;1980;1;19;87.4865875244141
1980-01-20;1980;1;20;86.8181228637695
1980-01-21;1980;1;21;85.2580337524414
1980-01-22;1980;1;22;89.5709381103516
1980-01-23;1980;1;23;83.3614730834961
1980-01-24;1980;1;24;83.2865295410156
1980-01-25;1980;1;25;89.7849349975586
1980-01-26;1980;1;26;93.4468765258789
1980-01-27;1980;1;27;90.0819473266602
1980-01-28;1980;1;28;88.8849792480469
1980-01-29;1980;1;29;82.5441589355469
1980-01-30;1980;1;30;82.3561782836914
1980-01-31;1980;1;31;90.5676727294922
1980-02-01;1980;2;1;88.0390853881836
1980-02-02;1980;2;2;90.3877716064453
1980-02-03;1980;2;3;82.7781829833984
1980-02-04;1980;2;4;81.2159805297852
1980-02-05;1980;2;5;75.9530487060547
1980-02-06;1980;2;6;74.4623641967773
1980-02-07;1980;2;7;75.2434616088867
1980-02-08;1980;2;8;85.2247543334961
1980-02-09;1980;2;9;77.2702941894531
1980-02-10;1980;2;10;78.0435485839844
1980-02-11;1980;2;11;77.6362762451172
1980-02-12;1980;2;12;82.4538497924805
1980-02-13;1980;2;13;92.4553527832031
1980-02-14;1980;2;14;83.6494369506836
1980-02-15;1980;2;15;79.0161361694336
1980-02-16;1980;2;16;84.7297515869141
1980-02-17;1980;2;17;88.0508804321289
1980-02-18;1980;2;18;93.7465667724609
1980-02-19;1980;2;19;86.6381759643555
1980-02-20;1980;2;20;79.871452331543
1980-02-21;1980;2;21;76.1403503417969
1980-02-22;1980;2;22;80.4902496337891
1980-02-23;1980;2;23;80.2895736694336
1980-02-24;1980;2;24;78.8334732055664
1980-02-25;1980;2;25;77.3084182739258
1980-02-26;1980;2;26;83.0573959350586
1980-02-27;1980;2;27;89.139030456543
1980-02-28;1980;2;28;83.9476470947266
1980-02-29;1980;2;29;75.7903213500977
1980-03-01;1980;3;1;71.8887939453125
1980-03-02;1980;3;2;74.2765655517578
1980-03-03;1980;3;3;76.9186477661133
1980-03-04;1980;3;4;76.9119873046875
1980-03-05;1980;3;5;76.6198196411133
1980-03-06;1980;3;6;76.9241333007812
1980-03-07;1980;3;7;71.9288024902344
1980-03-08;1980;3;8;69.8003692626953
1980-03-09;1980;3;9;68.0055770874023
1980-03-10;1980;3;10;73.4434280395508
1980-03-11;1980;3;11;78.9721145629883
1980-03-12;1980;3;12;84.596061706543
1980-03-13;1980;3;13;89.0873718261719
1980-03-14;1980;3;14;91.1846313476562
1980-03-15;1980;3;15;92.3890838623047
1980-03-16;1980;3;16;88.3495407104492
1980-03-17;1980;3;17;79.9972457885742
1980-03-18;1980;3;18;80.7796478271484
1980-03-19;1980;3;19;77.9473419189453
1980-03-20;1980;3;20;72.0751342773438
1980-03-21;1980;3;21;75.6048049926758
1980-03-22;1980;3;22;67.8405532836914
1980-03-23;1980;3;23;74.023567199707
1980-03-24;1980;3;24;74.3944625854492
1980-03-25;1980;3;25;71.7022094726562
1980-03-26;1980;3;26;71.7168884277344
1980-03-27;1980;3;27;71.0158920288086
1980-03-28;1980;3;28;69.359016418457
1980-03-29;1980;3;29;68.6061782836914
1980-03-30;1980;3;30;78.5416641235352
1980-03-31;1980;3;31;79.6062164306641
1980-04-01;1980;4;1;79.4448013305664
1980-04-02;1980;4;2;90.8591690063477
1980-04-03;1980;4;3;93.1795043945312
1980-04-04;1980;4;4;91.8766708374023
1980-04-05;1980;4;5;93.3231201171875
1980-04-06;1980;4;6;90.6784591674805
1980-04-07;1980;4;7;84.0068969726562
1980-04-08;1980;4;8;87.7597351074219
1980-04-09;1980;4;9;91.4389953613281
1980-04-10;1980;4;10;89.6570739746094
1980-04-11;1980;4;11;88.8169021606445
1980-04-12;1980;4;12;85.8618698120117
1980-04-13;1980;4;13;89.7872161865234
1980-04-14;1980;4;14;88.3912887573242
1980-04-15;1980;4;15;88.6001586914062
1980-04-16;1980;4;16;89.0628051757812
1980-04-17;1980;4;17;84.4499969482422
1980-04-18;1980;4;18;83.8493957519531
1980-04-19;1980;4;19;79.6961364746094
1980-04-20;1980;4;20;76.4754867553711
1980-04-21;1980;4;21;78.8979187011719
1980-04-22;1980;4;22;77.5204086303711
1980-04-23;1980;4;23;77.185432434082
1980-04-24;1980;4;24;72.6730346679688
1980-04-25;1980;4;25;76.0986251831055
1980-04-26;1980;4;26;70.8961486816406
1980-04-27;1980;4;27;75.9011535644531
1980-04-28;1980;4;28;78.1487884521484
1980-04-29;1980;4;29;78.1664886474609
1980-04-30;1980;4;30;82.8665542602539
1980-05-01;1980;5;1;76.3766326904297
1980-05-02;1980;5;2;94.8986206054688
1980-05-03;1980;5;3;96.5068740844727
1980-05-04;1980;5;4;80.6344757080078
1980-05-05;1980;5;5;74.1850814819336
1980-05-06;1980;5;6;73.429443359375
1980-05-07;1980;5;7;75.9166107177734
1980-05-08;1980;5;8;77.2206573486328
1980-05-09;1980;5;9;80.0212707519531
1980-05-10;1980;5;10;80.4991912841797
1980-05-11;1980;5;11;84.901008605957
1980-05-12;1980;5;12;78.77880859375
1980-05-13;1980;5;13;79.3880310058594
1980-05-14;1980;5;14;78.1932525634766
1980-05-15;1980;5;15;78.7148208618164
1980-05-16;1980;5;16;80.4887390136719
1980-05-17;1980;5;17;83.4405212402344
1980-05-18;1980;5;18;83.2541885375977
1980-05-19;1980;5;19;73.0404891967773
1980-05-20;1980;5;20;80.0083389282227
1980-05-21;1980;5;21;76.3158416748047
1980-05-22;1980;5;22;88.2206420898438
1980-05-23;1980;5;23;79.5827865600586
1980-05-24;1980;5;24;76.9860534667969
1980-05-25;1980;5;25;74.5324401855469
1980-05-26;1980;5;26;77.2227401733398
1980-05-27;1980;5;27;78.5856857299805
1980-05-28;1980;5;28;77.0772323608398
1980-05-29;1980;5;29;71.8857192993164
1980-05-30;1980;5;30;67.8153915405273
1980-05-31;1980;5;31;70.6013488769531
1980-06-01;1980;6;1;69.8930053710938
1980-06-02;1980;6;2;75.9690628051758
1980-06-03;1980;6;3;87.0094757080078
1980-06-04;1980;6;4;74.695671081543
1980-06-05;1980;6;5;82.6785736083984
1980-06-06;1980;6;6;76.1414108276367
1980-06-07;1980;6;7;70.1080169677734
1980-06-08;1980;6;8;79.9585723876953
1980-06-09;1980;6;9;77.534538269043
1980-06-10;1980;6;10;71.7357864379883
1980-06-11;1980;6;11;70.2135467529297
1980-06-12;1980;6;12;72.9013519287109
1980-06-13;1980;6;13;79.8165740966797
1980-06-14;1980;6;14;83.4819869995117
1980-06-15;1980;6;15;70.6621704101562
1980-06-16;1980;6;16;74.0083999633789
1980-06-17;1980;6;17;71.5129776000977
1980-06-18;1980;6;18;71.1265563964844
1980-06-19;1980;6;19;71.4958343505859
1980-06-20;1980;6;20;62.5221710205078
1980-06-21;1980;6;21;75.0517044067383
1980-06-22;1980;6;22;80.8703536987305
1980-06-23;1980;6;23;72.7358551025391
1980-06-24;1980;6;24;74.5572052001953
1980-06-25;1980;6;25;85.533576965332
1980-06-26;1980;6;26;97.0467834472656
1980-06-27;1980;6;27;86.0905151367188
1980-06-28;1980;6;28;80.0053329467773
1980-06-29;1980;6;29;79.1405487060547
1980-06-30;1980;6;30;82.9431610107422
1980-07-01;1980;7;1;74.1846466064453
