mydate;year;month;day;var
1980-01-01;1980;1;1;13.5770807266235
1980-01-02;1980;1;2;18.7296924591064
1980-01-03;1980;1;3;26.3584213256836
1980-01-04;1980;1;4;27.7607116699219
1980-01-05;1980;1;5;26.8298854827881
1980-01-06;1980;1;6;27.7113800048828
1980-01-07;1980;1;7;14.8813648223877
1980-01-08;1980;1;8;14.2797813415527
1980-01-09;1980;1;9;11.3574285507202
1980-01-10;1980;1;10;16.8425693511963
1980-01-11;1980;1;11;16.4244041442871
1980-01-12;1980;1;12;11.6156759262085
1980-01-13;1980;1;13;15.0966491699219
1980-01-14;1980;1;14;15.7730112075806
1980-01-15;1980;1;15;14.6397247314453
1980-01-16;1980;1;16;10.4416208267212
1980-01-17;1980;1;17;11.1414318084717
1980-01-18;1980;1;18;11.9942388534546
1980-01-19;1980;1;19;14.9372758865356
1980-01-20;1980;1;20;22.8089122772217
1980-01-21;1980;1;21;17.4305438995361
1980-01-22;1980;1;22;19.7227210998535
1980-01-23;1980;1;23;19.9542675018311
1980-01-24;1980;1;24;21.497371673584
1980-01-25;1980;1;25;14.0008783340454
1980-01-26;1980;1;26;13.2102041244507
1980-01-27;1980;1;27;19.5025177001953
1980-01-28;1980;1;28;20.3659191131592
1980-01-29;1980;1;29;21.7080097198486
1980-01-30;1980;1;30;20.8084583282471
1980-01-31;1980;1;31;13.8762321472168
1980-02-01;1980;2;1;18.6136379241943
1980-02-02;1980;2;2;11.7187490463257
1980-02-03;1980;2;3;15.9588670730591
1980-02-04;1980;2;4;22.1535053253174
1980-02-05;1980;2;5;25.8755111694336
1980-02-06;1980;2;6;25.2612342834473
1980-02-07;1980;2;7;22.504825592041
1980-02-08;1980;2;8;15.3587808609009
1980-02-09;1980;2;9;23.9688949584961
1980-02-10;1980;2;10;19.8823528289795
1980-02-11;1980;2;11;19.0091342926025
1980-02-12;1980;2;12;17.2716445922852
1980-02-13;1980;2;13;10.124698638916
1980-02-14;1980;2;14;11.958309173584
1980-02-15;1980;2;15;14.2938623428345
1980-02-16;1980;2;16;11.5509376525879
1980-02-17;1980;2;17;15.4011659622192
1980-02-18;1980;2;18;11.2308826446533
1980-02-19;1980;2;19;17.0524024963379
1980-02-20;1980;2;20;22.5479393005371
1980-02-21;1980;2;21;19.8346900939941
1980-02-22;1980;2;22;21.1566143035889
1980-02-23;1980;2;23;15.9496994018555
1980-02-24;1980;2;24;19.7877197265625
1980-02-25;1980;2;25;20.0058975219727
1980-02-26;1980;2;26;14.4117450714111
1980-02-27;1980;2;27;11.0182552337646
1980-02-28;1980;2;28;14.5846557617188
1980-02-29;1980;2;29;24.922758102417
1980-03-01;1980;3;1;24.7703189849854
1980-03-02;1980;3;2;24.4774417877197
1980-03-03;1980;3;3;16.7365665435791
1980-03-04;1980;3;4;19.9497509002686
1980-03-05;1980;3;5;24.1668853759766
1980-03-06;1980;3;6;22.9950904846191
1980-03-07;1980;3;7;25.1816349029541
1980-03-08;1980;3;8;25.1192245483398
1980-03-09;1980;3;9;22.8124485015869
1980-03-10;1980;3;10;23.9861335754395
1980-03-11;1980;3;11;20.5094318389893
1980-03-12;1980;3;12;16.9281482696533
1980-03-13;1980;3;13;14.4364309310913
1980-03-14;1980;3;14;14.7653923034668
1980-03-15;1980;3;15;12.5028209686279
1980-03-16;1980;3;16;16.0007972717285
1980-03-17;1980;3;17;21.7526206970215
1980-03-18;1980;3;18;21.9123115539551
1980-03-19;1980;3;19;21.2016754150391
1980-03-20;1980;3;20;22.6497211456299
1980-03-21;1980;3;21;24.0118198394775
1980-03-22;1980;3;22;23.2818603515625
1980-03-23;1980;3;23;23.9528388977051
1980-03-24;1980;3;24;23.5970706939697
1980-03-25;1980;3;25;23.419261932373
1980-03-26;1980;3;26;18.0296421051025
1980-03-27;1980;3;27;21.6741008758545
1980-03-28;1980;3;28;22.0920124053955
1980-03-29;1980;3;29;21.2892665863037
1980-03-30;1980;3;30;17.5916633605957
1980-03-31;1980;3;31;19.095344543457
1980-04-01;1980;4;1;19.7938976287842
1980-04-02;1980;4;2;13.7512655258179
1980-04-03;1980;4;3;10.0867643356323
1980-04-04;1980;4;4;11.4430599212646
1980-04-05;1980;4;5;13.2822017669678
1980-04-06;1980;4;6;14.1901559829712
1980-04-07;1980;4;7;17.59055519104
1980-04-08;1980;4;8;17.3926010131836
1980-04-09;1980;4;9;10.8501386642456
1980-04-10;1980;4;10;13.3455410003662
1980-04-11;1980;4;11;11.6635179519653
1980-04-12;1980;4;12;17.3879356384277
1980-04-13;1980;4;13;11.6389646530151
1980-04-14;1980;4;14;16.8928680419922
1980-04-15;1980;4;15;14.1292715072632
1980-04-16;1980;4;16;12.8745517730713
1980-04-17;1980;4;17;17.8437232971191
1980-04-18;1980;4;18;15.1728887557983
1980-04-19;1980;4;19;20.7679710388184
1980-04-20;1980;4;20;21.5032138824463
1980-04-21;1980;4;21;19.4018115997314
1980-04-22;1980;4;22;21.2436695098877
1980-04-23;1980;4;23;20.415018081665
1980-04-24;1980;4;24;20.1186027526855
1980-04-25;1980;4;25;19.1428604125977
1980-04-26;1980;4;26;19.025218963623
1980-04-27;1980;4;27;18.9016780853271
1980-04-28;1980;4;28;19.0111675262451
1980-04-29;1980;4;29;17.7485485076904
1980-04-30;1980;4;30;17.4136009216309
1980-05-01;1980;5;1;16.8492202758789
1980-05-02;1980;5;2;8.04441070556641
1980-05-03;1980;5;3;7.59252834320068
1980-05-04;1980;5;4;16.2312316894531
1980-05-05;1980;5;5;19.867431640625
1980-05-06;1980;5;6;18.428539276123
1980-05-07;1980;5;7;19.5098934173584
1980-05-08;1980;5;8;19.1919765472412
1980-05-09;1980;5;9;18.4854888916016
1980-05-10;1980;5;10;12.6260633468628
1980-05-11;1980;5;11;14.9204883575439
1980-05-12;1980;5;12;16.0227832794189
1980-05-13;1980;5;13;18.0504055023193
1980-05-14;1980;5;14;15.5127611160278
1980-05-15;1980;5;15;16.6259918212891
1980-05-16;1980;5;16;16.8116970062256
1980-05-17;1980;5;17;13.852258682251
1980-05-18;1980;5;18;14.5220031738281
1980-05-19;1980;5;19;16.0917186737061
1980-05-20;1980;5;20;15.8732614517212
1980-05-21;1980;5;21;17.7681350708008
1980-05-22;1980;5;22;10.0660419464111
1980-05-23;1980;5;23;13.0394897460938
1980-05-24;1980;5;24;16.8624858856201
1980-05-25;1980;5;25;16.7436542510986
1980-05-26;1980;5;26;16.9021606445312
1980-05-27;1980;5;27;17.5161628723145
1980-05-28;1980;5;28;13.3642282485962
1980-05-29;1980;5;29;12.8633708953857
1980-05-30;1980;5;30;15.0724792480469
1980-05-31;1980;5;31;16.6241683959961
1980-06-01;1980;6;1;16.3462829589844
1980-06-02;1980;6;2;10.1885757446289
1980-06-03;1980;6;3;10.8881711959839
1980-06-04;1980;6;4;16.5509986877441
