mydate;year;month;day;var
1980-01-01;1980;1;1;24.1919059753418
1980-01-02;1980;1;2;26.9204483032227
1980-01-03;1980;1;3;28.2759475708008
1980-01-04;1980;1;4;29.6327495574951
1980-01-05;1980;1;5;29.1743564605713
1980-01-06;1980;1;6;29.2925472259521
1980-01-07;1980;1;7;26.9664916992188
1980-01-08;1980;1;8;25.9953479766846
1980-01-09;1980;1;9;24.6145038604736
1980-01-10;1980;1;10;27.5722942352295
1980-01-11;1980;1;11;25.4915866851807
1980-01-12;1980;1;12;23.8975372314453
1980-01-13;1980;1;13;24.6904926300049
1980-01-14;1980;1;14;25.6702632904053
1980-01-15;1980;1;15;25.6444835662842
1980-01-16;1980;1;16;23.0081748962402
1980-01-17;1980;1;17;23.7489738464355
1980-01-18;1980;1;18;24.7740039825439
1980-01-19;1980;1;19;26.4917640686035
1980-01-20;1980;1;20;29.3872509002686
1980-01-21;1980;1;21;28.8751010894775
1980-01-22;1980;1;22;28.7656841278076
1980-01-23;1980;1;23;28.5471687316895
1980-01-24;1980;1;24;28.4932384490967
1980-01-25;1980;1;25;27.5411128997803
1980-01-26;1980;1;26;25.5567779541016
1980-01-27;1980;1;27;28.5539627075195
1980-01-28;1980;1;28;28.7491874694824
1980-01-29;1980;1;29;29.0147590637207
1980-01-30;1980;1;30;28.765645980835
1980-01-31;1980;1;31;26.6771087646484
1980-02-01;1980;2;1;28.1593971252441
1980-02-02;1980;2;2;27.5730361938477
1980-02-03;1980;2;3;27.6657218933105
1980-02-04;1980;2;4;28.2860622406006
1980-02-05;1980;2;5;29.3083076477051
1980-02-06;1980;2;6;30.936149597168
1980-02-07;1980;2;7;31.2677612304688
1980-02-08;1980;2;8;29.1128597259521
1980-02-09;1980;2;9;28.7208080291748
1980-02-10;1980;2;10;28.4037132263184
1980-02-11;1980;2;11;28.2394771575928
1980-02-12;1980;2;12;29.1516895294189
1980-02-13;1980;2;13;23.0540237426758
1980-02-14;1980;2;14;23.1788215637207
1980-02-15;1980;2;15;23.2700424194336
1980-02-16;1980;2;16;24.2075824737549
1980-02-17;1980;2;17;25.5293216705322
