mydate;year;month;day;var
1980-01-01;1980;1;1;17.3556156158447
1980-01-02;1980;1;2;14.6334600448608
1980-01-03;1980;1;3;15.8670330047607
1980-01-04;1980;1;4;16.3479537963867
1980-01-05;1980;1;5;17.7547416687012
1980-01-06;1980;1;6;17.7737464904785
1980-01-07;1980;1;7;17.5157356262207
1980-01-08;1980;1;8;17.5407562255859
1980-01-09;1980;1;9;17.5894927978516
1980-01-10;1980;1;10;19.3285598754883
1980-01-11;1980;1;11;18.3566360473633
1980-01-12;1980;1;12;17.7501659393311
1980-01-13;1980;1;13;17.8600101470947
1980-01-14;1980;1;14;17.5231552124023
1980-01-15;1980;1;15;18.6205806732178
1980-01-16;1980;1;16;18.4570789337158
1980-01-17;1980;1;17;17.6326866149902
1980-01-18;1980;1;18;18.2078227996826
1980-01-19;1980;1;19;18.4046363830566
1980-01-20;1980;1;20;19.198917388916
1980-01-21;1980;1;21;18.1697673797607
1980-01-22;1980;1;22;18.4827785491943
1980-01-23;1980;1;23;18.1899318695068
1980-01-24;1980;1;24;18.5469589233398
1980-01-25;1980;1;25;19.1158447265625
1980-01-26;1980;1;26;18.9169521331787
1980-01-27;1980;1;27;18.5614967346191
1980-01-28;1980;1;28;19.710750579834
1980-01-29;1980;1;29;18.7724666595459
1980-01-30;1980;1;30;19.1794376373291
1980-01-31;1980;1;31;18.6581630706787
1980-02-01;1980;2;1;19.2215843200684
1980-02-02;1980;2;2;19.9508991241455
1980-02-03;1980;2;3;19.9618873596191
1980-02-04;1980;2;4;18.8593196868896
1980-02-05;1980;2;5;18.7053508758545
1980-02-06;1980;2;6;18.7790870666504
1980-02-07;1980;2;7;20.231616973877
1980-02-08;1980;2;8;19.4037799835205
1980-02-09;1980;2;9;19.7653141021729
1980-02-10;1980;2;10;18.893970489502
1980-02-11;1980;2;11;18.8326587677002
1980-02-12;1980;2;12;18.3075351715088
1980-02-13;1980;2;13;17.6782550811768
1980-02-14;1980;2;14;17.4734382629395
1980-02-15;1980;2;15;16.2548236846924
1980-02-16;1980;2;16;16.4022693634033
1980-02-17;1980;2;17;17.0097579956055
1980-02-18;1980;2;18;17.6784572601318
1980-02-19;1980;2;19;17.063045501709
1980-02-20;1980;2;20;14.8257083892822
1980-02-21;1980;2;21;16.8013095855713
1980-02-22;1980;2;22;18.7178840637207
1980-02-23;1980;2;23;18.354024887085
1980-02-24;1980;2;24;18.469690322876
1980-02-25;1980;2;25;18.4268379211426
1980-02-26;1980;2;26;18.0363578796387
1980-02-27;1980;2;27;18.1815872192383
1980-02-28;1980;2;28;18.3827342987061
1980-02-29;1980;2;29;18.6632499694824
1980-03-01;1980;3;1;17.9537563323975
1980-03-02;1980;3;2;17.9847965240479
1980-03-03;1980;3;3;18.2570152282715
1980-03-04;1980;3;4;17.6221332550049
1980-03-05;1980;3;5;17.3600082397461
1980-03-06;1980;3;6;17.8030338287354
1980-03-07;1980;3;7;17.018123626709
1980-03-08;1980;3;8;17.4646053314209
1980-03-09;1980;3;9;18.5389213562012
1980-03-10;1980;3;10;19.3031425476074
1980-03-11;1980;3;11;19.3888397216797
1980-03-12;1980;3;12;18.6901817321777
1980-03-13;1980;3;13;18.7540836334229
1980-03-14;1980;3;14;18.0508804321289
1980-03-15;1980;3;15;18.2962608337402
1980-03-16;1980;3;16;17.6391010284424
1980-03-17;1980;3;17;17.3593006134033
1980-03-18;1980;3;18;17.5035934448242
1980-03-19;1980;3;19;18.7406997680664
1980-03-20;1980;3;20;17.5993480682373
1980-03-21;1980;3;21;16.4502086639404
1980-03-22;1980;3;22;17.5608444213867
1980-03-23;1980;3;23;17.8155097961426
1980-03-24;1980;3;24;18.2088050842285
1980-03-25;1980;3;25;17.3013610839844
1980-03-26;1980;3;26;16.9221992492676
1980-03-27;1980;3;27;17.8633708953857
1980-03-28;1980;3;28;18.0442657470703
1980-03-29;1980;3;29;18.3935394287109
1980-03-30;1980;3;30;19.110237121582
1980-03-31;1980;3;31;17.6418933868408
1980-04-01;1980;4;1;17.0735130310059
1980-04-02;1980;4;2;16.7689914703369
1980-04-03;1980;4;3;15.2719011306763
1980-04-04;1980;4;4;15.2074575424194
1980-04-05;1980;4;5;15.1726818084717
1980-04-06;1980;4;6;16.7129325866699
1980-04-07;1980;4;7;18.7775135040283
1980-04-08;1980;4;8;16.9607448577881
1980-04-09;1980;4;9;16.3980255126953
1980-04-10;1980;4;10;15.6364822387695
1980-04-11;1980;4;11;15.7771291732788
1980-04-12;1980;4;12;16.5018348693848
1980-04-13;1980;4;13;19.3134899139404
1980-04-14;1980;4;14;16.2963085174561
1980-04-15;1980;4;15;16.37624168396
1980-04-16;1980;4;16;17.5617294311523
1980-04-17;1980;4;17;15.5841751098633
1980-04-18;1980;4;18;17.5324306488037
1980-04-19;1980;4;19;14.2367658615112
1980-04-20;1980;4;20;14.7054595947266
1980-04-21;1980;4;21;15.9252309799194
1980-04-22;1980;4;22;14.5146150588989
1980-04-23;1980;4;23;14.6294641494751
1980-04-24;1980;4;24;14.6870775222778
1980-04-25;1980;4;25;14.2672643661499
1980-04-26;1980;4;26;13.9712896347046
1980-04-27;1980;4;27;13.424144744873
1980-04-28;1980;4;28;13.1161766052246
1980-04-29;1980;4;29;14.2504959106445
1980-04-30;1980;4;30;14.6960124969482
1980-05-01;1980;5;1;14.9814424514771
1980-05-02;1980;5;2;15.3706254959106
1980-05-03;1980;5;3;15.5368013381958
1980-05-04;1980;5;4;13.8129978179932
1980-05-05;1980;5;5;10.2128076553345
1980-05-06;1980;5;6;12.1238870620728
1980-05-07;1980;5;7;14.6840496063232
1980-05-08;1980;5;8;15.0986299514771
1980-05-09;1980;5;9;16.1097564697266
1980-05-10;1980;5;10;15.434009552002
1980-05-11;1980;5;11;16.5133800506592
1980-05-12;1980;5;12;16.3601512908936
1980-05-13;1980;5;13;13.0810537338257
1980-05-14;1980;5;14;15.2506847381592
1980-05-15;1980;5;15;13.5412225723267
1980-05-16;1980;5;16;14.4139432907104
1980-05-17;1980;5;17;14.5324478149414
1980-05-18;1980;5;18;16.3877716064453
1980-05-19;1980;5;19;16.1838817596436
1980-05-20;1980;5;20;15.8942203521729
1980-05-21;1980;5;21;15.5589752197266
1980-05-22;1980;5;22;15.6409339904785
1980-05-23;1980;5;23;15.6880283355713
1980-05-24;1980;5;24;14.9527606964111
1980-05-25;1980;5;25;14.4235544204712
1980-05-26;1980;5;26;13.2952346801758
1980-05-27;1980;5;27;12.9913301467896
1980-05-28;1980;5;28;13.933614730835
1980-05-29;1980;5;29;16.1756496429443
1980-05-30;1980;5;30;14.8973445892334
1980-05-31;1980;5;31;11.1206960678101
1980-06-01;1980;6;1;14.6762466430664
1980-06-02;1980;6;2;13.3711681365967
1980-06-03;1980;6;3;15.3616065979004
1980-06-04;1980;6;4;10.5556039810181
1980-06-05;1980;6;5;9.31846714019775
1980-06-06;1980;6;6;11.955283164978
1980-06-07;1980;6;7;12.7253799438477
1980-06-08;1980;6;8;13.0523138046265
1980-06-09;1980;6;9;12.4244632720947
1980-06-10;1980;6;10;12.5724859237671
1980-06-11;1980;6;11;12.749716758728
1980-06-12;1980;6;12;14.9414901733398
1980-06-13;1980;6;13;13.5614833831787
1980-06-14;1980;6;14;11.3392171859741
1980-06-15;1980;6;15;6.05716419219971
1980-06-16;1980;6;16;9.94554710388184
1980-06-17;1980;6;17;10.6026010513306
1980-06-18;1980;6;18;7.53473997116089
1980-06-19;1980;6;19;9.37230968475342
1980-06-20;1980;6;20;10.5506896972656
1980-06-21;1980;6;21;11.6699781417847
1980-06-22;1980;6;22;11.131272315979
1980-06-23;1980;6;23;9.46482372283936
1980-06-24;1980;6;24;11.7702703475952
1980-06-25;1980;6;25;13.9675283432007
1980-06-26;1980;6;26;13.9759979248047
1980-06-27;1980;6;27;11.0851917266846
1980-06-28;1980;6;28;9.0528564453125
1980-06-29;1980;6;29;10.6489191055298
1980-06-30;1980;6;30;12.7160243988037
1980-07-01;1980;7;1;13.2844076156616
1980-07-02;1980;7;2;11.9955892562866
1980-07-03;1980;7;3;11.8629341125488
1980-07-04;1980;7;4;12.138783454895
1980-07-05;1980;7;5;12.1133108139038
1980-07-06;1980;7;6;12.0252723693848
1980-07-07;1980;7;7;11.7557849884033
1980-07-08;1980;7;8;11.2378301620483
1980-07-09;1980;7;9;11.6424236297607
1980-07-10;1980;7;10;12.2394800186157
1980-07-11;1980;7;11;12.2774467468262
1980-07-12;1980;7;12;13.1918153762817
1980-07-13;1980;7;13;13.6875858306885
1980-07-14;1980;7;14;12.9348125457764
1980-07-15;1980;7;15;12.9982423782349
1980-07-16;1980;7;16;13.1047172546387
1980-07-17;1980;7;17;12.6712465286255
1980-07-18;1980;7;18;13.1742420196533
1980-07-19;1980;7;19;12.8086595535278
1980-07-20;1980;7;20;11.5591402053833
1980-07-21;1980;7;21;14.6055145263672
1980-07-22;1980;7;22;14.0200338363647
1980-07-23;1980;7;23;14.2537040710449
1980-07-24;1980;7;24;12.0761623382568
1980-07-25;1980;7;25;10.9298934936523
1980-07-26;1980;7;26;11.7540531158447
1980-07-27;1980;7;27;12.3872842788696
1980-07-28;1980;7;28;13.3369569778442
1980-07-29;1980;7;29;13.3047943115234
1980-07-30;1980;7;30;12.7260751724243
1980-07-31;1980;7;31;14.451226234436
1980-08-01;1980;8;1;11.8328886032104
1980-08-02;1980;8;2;11.8699073791504
1980-08-03;1980;8;3;10.5142087936401
1980-08-04;1980;8;4;12.2662372589111
1980-08-05;1980;8;5;12.8482437133789
1980-08-06;1980;8;6;13.3659591674805
1980-08-07;1980;8;7;13.4867820739746
1980-08-08;1980;8;8;15.2525844573975
1980-08-09;1980;8;9;13.2301950454712
1980-08-10;1980;8;10;12.8355751037598
1980-08-11;1980;8;11;12.8359441757202
1980-08-12;1980;8;12;13.9133520126343
1980-08-13;1980;8;13;12.4608430862427
1980-08-14;1980;8;14;11.6881370544434
1980-08-15;1980;8;15;13.4230728149414
1980-08-16;1980;8;16;15.1741809844971
